# Time-averaged data for fix cold1
# TimeStep f_Cold
1000 1.45627
2000 2.88266
3000 2.70965
4000 2.05396
5000 4.48256
6000 5.36927
7000 7.78312
8000 7.97802
9000 10.8216
10000 12.0316
11000 14.166
12000 15.385
13000 14.0379
14000 12.7129
15000 12.9568
16000 14.6509
17000 13.9683
18000 14.1218
19000 13.9862
20000 14.1426
21000 15.1876
22000 16.7303
23000 17.9596
24000 18.4215
25000 17.5693
26000 17.3256
27000 18.1744
28000 18.6125
29000 19.2343
30000 19.7981
31000 20.3223
32000 23.0971
33000 21.3415
34000 21.9469
35000 23.7859
36000 23.5133
37000 24.2034
38000 24.9953
39000 25.5072
40000 27.4255
41000 27.9689
42000 26.8632
43000 26.8147
44000 26.9391
45000 28.8609
46000 28.7752
47000 28.3072
48000 29.6243
49000 29.6941
50000 32.2867
51000 32.6783
52000 32.7877
53000 33.6706
54000 34.1696
55000 33.4255
56000 33.1877
57000 35.6317
58000 36.0947
59000 36.4981
60000 36.9037
61000 35.7277
62000 35.7615
63000 36.6864
64000 36.0987
65000 36.3853
66000 35.8936
67000 36.7464
68000 37.7332
69000 38.4349
70000 39.0483
71000 40.3572
72000 42.0151
73000 41.3173
74000 41.1487
75000 41.7188
76000 40.4753
77000 40.9339
78000 41.9894
79000 42.1626
80000 41.5533
81000 43.8504
82000 44.5525
83000 43.4186
84000 43.7793
85000 45.2219
86000 46.3965
87000 46.6027
88000 45.8564
89000 47.0063
90000 45.563
91000 46.8041
92000 45.6008
93000 46.5276
94000 47.1202
95000 46.6337
96000 47.6169
97000 48.5745
98000 49.9594
99000 49.9733
100000 50.7651
101000 50.0122
102000 51.2252
103000 52.2919
104000 52.6481
105000 53.185
106000 54.2463
107000 52.1228
108000 53.3951
109000 52.9015
110000 53.8336
111000 56.2615
112000 56.9639
113000 55.9998
114000 57.6191
115000 58.0831
116000 59.1303
117000 59.9652
118000 61.794
119000 61.3171
120000 62.3179
121000 62.0531
122000 63.3021
123000 64.2824
124000 65.9577
125000 66.4275
126000 66.0081
127000 67.6868
128000 66.4916
129000 65.8644
130000 68.8166
131000 70.0936
132000 71.6235
133000 70.6085
134000 71.2442
135000 70.2027
136000 70.9805
137000 71.0447
138000 72.3022
139000 73.5741
140000 74.4202
141000 75.8694
142000 76.4787
143000 76.0631
144000 75.4714
145000 75.934
146000 75.5045
147000 74.8113
148000 73.6038
149000 73.245
150000 73.6823
151000 74.156
152000 74.9904
153000 76.7385
154000 78.1968
155000 78.3203
156000 80.9267
157000 80.8919
158000 81.8353
159000 82.0768
160000 83.595
161000 85.693
162000 85.7486
163000 85.807
164000 86.9437
165000 85.9246
166000 87.2546
167000 87.7184
168000 90.6236
169000 92.0204
170000 91.4784
171000 90.3196
172000 90.3835
173000 92.7747
174000 93.0191
175000 93.6677
176000 93.8274
177000 95.0177
178000 97.9761
179000 97.4258
180000 97.0718
181000 97.8377
182000 98.4523
183000 99.3065
184000 99.5925
185000 99.3705
186000 100.318
187000 101.483
188000 102.403
189000 100.965
190000 103.554
191000 102.894
192000 104.023
193000 105.909
194000 107.104
195000 107.863
196000 107.185
197000 108.375
198000 108.488
199000 108.504
200000 109.704
201000 109.822
202000 111.331
203000 110.348
204000 112.924
205000 111.764
206000 113.673
207000 115.281
208000 115.643
209000 114.787
210000 114.794
211000 115.477
212000 116.493
213000 117.142
214000 119.112
215000 118.695
216000 119.47
217000 121.736
218000 119.862
219000 119.74
220000 118.724
221000 119.556
222000 122.36
223000 122.483
224000 122.739
225000 123.071
226000 124.085
227000 126.881
228000 126.36
229000 126.289
230000 128.018
231000 128.176
232000 128.747
233000 130.096
234000 129.903
235000 131.006
236000 131.137
237000 131.9
238000 131.969
239000 131.982
240000 132.383
241000 132.82
242000 132.012
243000 132.651
244000 132.614
245000 135.372
246000 136.563
247000 138.488
248000 137.16
249000 136.966
250000 139.387
251000 139.411
252000 141.116
253000 140.963
254000 140.123
255000 139.471
256000 139.957
257000 140.807
258000 140.652
259000 140.644
260000 141.956
261000 142.611
262000 141.083
263000 143.331
264000 142.742
265000 142.923
266000 143.027
267000 143.558
268000 144.393
269000 145.396
270000 145.522
271000 146.046
272000 148.49
273000 150.677
274000 149.883
275000 151.714
276000 152.501
277000 152.459
278000 152.763
279000 152.608
280000 153.229
281000 154.347
282000 154.705
283000 154.777
284000 154.786
285000 155.273
286000 155.108
287000 156.145
288000 155.827
289000 153.89
290000 154.967
291000 156.17
292000 157.99
293000 158.053
294000 161.706
295000 161.392
296000 161.272
297000 160.713
298000 162.389
299000 162.549
300000 164.143
301000 164.647
302000 162.712
303000 162.314
304000 162.725
305000 164.409
306000 164.827
307000 165.394
308000 163.603
309000 165.293
310000 165.926
311000 166.846
312000 164.616
313000 167.117
314000 168.404
315000 168.472
316000 169.463
317000 170.294
318000 170.631
319000 170.629
320000 170.592
321000 172.876
322000 173.446
323000 174.884
324000 176.045
325000 176.629
326000 177.169
327000 178.665
328000 179.3
329000 178.725
330000 179.172
331000 178.467
332000 180.494
333000 179.583
334000 180.933
335000 181.597
336000 181.568
337000 182.438
338000 182.155
339000 183.168
340000 183.405
341000 184.828
342000 185.759
343000 186.26
344000 185.985
345000 188.121
346000 188.883
347000 189.957
348000 191.22
349000 190.8
350000 191.927
351000 191.573
352000 191.64
353000 194.51
354000 193.162
355000 195.146
356000 194.23
357000 194.053
358000 195.097
359000 195.747
360000 196.724
361000 196.743
362000 199.282
363000 200.214
364000 201.596
365000 202.644
366000 205.585
367000 206.662
368000 206
369000 207.661
370000 209.197
371000 209.716
372000 209.254
373000 209.862
374000 209.701
375000 211.403
376000 210.812
377000 210.95
378000 212.258
379000 214.69
380000 215.544
381000 217.671
382000 217.581
383000 217.231
384000 218.292
385000 218.151
386000 218.649
387000 219.841
388000 219.284
389000 217.853
390000 218.785
391000 220.184
392000 221.222
393000 221.645
394000 221.152
395000 222.397
396000 223.885
397000 223.82
398000 225.858
399000 226.7
400000 225.62
401000 226.33
402000 226.578
403000 226.813
404000 228.214
405000 227.577
406000 228.133
407000 228.103
408000 229.465
409000 229.949
410000 230.764
411000 231.838
412000 233.174
413000 233.554
414000 234.404
415000 235.211
416000 236.19
417000 235.291
418000 235.431
419000 234.717
420000 234.112
421000 233.62
422000 235.16
423000 235.509
424000 235.105
425000 236.724
426000 236.427
427000 238.092
428000 239.031
429000 238.612
430000 238.225
431000 238.345
432000 239.073
433000 238.924
434000 240.086
435000 239.856
436000 241.162
437000 242.299
438000 243.582
439000 243.709
440000 243.273
441000 245.392
442000 246.675
443000 247.899
444000 247.942
445000 247.806
446000 248.166
447000 247.423
448000 248.865
449000 249.859
450000 249.421
451000 249.479
452000 250.77
453000 252.528
454000 254.49
455000 253.679
456000 254.302
457000 256.925
458000 256.744
459000 258.124
460000 257.656
461000 258.119
462000 257.96
463000 257.257
464000 257.796
465000 256.599
466000 256.554
467000 258.822
468000 260.607
469000 262.074
470000 262.437
471000 264.681
472000 266.475
473000 268.338
474000 268.648
475000 268.536
476000 270.044
477000 271.27
478000 273.507
479000 272.513
480000 273.927
481000 272.976
482000 273.371
483000 274.092
484000 274.98
485000 276.864
486000 278.817
487000 279.894
488000 282.114
489000 283.005
490000 282.415
491000 282.996
492000 284.084
493000 283.534
494000 285.216
495000 285.643
496000 286.499
497000 287.358
498000 287.232
499000 287.75
500000 287.888
501000 288.077
502000 287.63
503000 287.75
504000 289.494
505000 289.033
506000 287.176
507000 287.794
508000 287.774
509000 288.042
510000 288.456
511000 290.967
512000 290.342
513000 289.811
514000 289.587
515000 291.302
516000 290.926
517000 292.776
518000 292.917
519000 293.058
520000 291.85
521000 293.059
522000 294.83
523000 295.577
524000 294.744
525000 295.534
526000 297.601
527000 297.132
528000 299.847
529000 300.207
530000 299.122
531000 300
532000 300.158
533000 299.969
534000 300.134
535000 299.46
536000 301.633
537000 302.803
538000 302.934
539000 303.858
540000 305.177
541000 305.003
542000 305.271
543000 305.702
544000 304.688
545000 306.383
546000 309.07
547000 309.463
548000 310.406
549000 311.895
550000 312.221
551000 313.474
552000 313.249
553000 314.137
554000 315.535
555000 314.234
556000 312.946
557000 313.656
558000 314.332
559000 314.065
560000 314.322
561000 314.606
562000 314.725
563000 315.092
564000 315.715
565000 314.844
566000 317.913
567000 318.413
568000 319.159
569000 319.461
570000 320.242
571000 320.742
572000 320.208
573000 322.103
574000 321.732
575000 320.531
576000 323.171
577000 323.238
578000 323.263
579000 323.357
580000 324.324
581000 324.256
582000 324.951
583000 324.476
584000 325.349
585000 326.102
586000 327.076
587000 327.916
588000 329.387
589000 329.569
590000 330.927
591000 331.524
592000 332.313
593000 332.326
594000 332.435
595000 332.296
596000 333.912
597000 334.122
598000 333.363
599000 334.565
600000 334.218
601000 333.671
602000 333.968
603000 335.231
604000 336.038
605000 336.615
606000 336.945
607000 336.924
608000 337.768
609000 336.425
610000 335.548
611000 334.862
612000 335.495
613000 337.618
614000 339.882
615000 338.861
616000 338.187
617000 339.398
618000 340.409
619000 340.943
620000 340.725
621000 343.082
622000 343.796
623000 342.452
624000 342.862
625000 343.766
626000 345.023
627000 344.84
628000 346.332
629000 346.872
630000 346.661
631000 346.789
632000 346.18
633000 346.987
634000 347.923
635000 347.776
636000 349.119
637000 350.711
638000 352.801
639000 353.175
640000 353.445
641000 353.968
642000 354.248
643000 356.057
644000 356.216
645000 355.342
646000 356.351
647000 357.723
648000 358.254
649000 359.406
650000 359.241
651000 361.243
652000 361.784
653000 361.313
654000 362.346
655000 363.641
656000 364.029
657000 365.001
658000 367.421
659000 368.728
660000 367.711
661000 368.237
662000 367.459
663000 367.788
664000 366.601
665000 366.694
666000 367.363
667000 366.488
668000 365.405
669000 366.619
670000 368.319
671000 368.761
672000 369.175
673000 369.931
674000 369.102
675000 369.806
676000 368.924
677000 368.483
678000 369.055
679000 369.457
680000 368.177
681000 369.049
682000 370.271
683000 370.614
684000 371.112
685000 373.258
686000 374.226
687000 374.073
688000 374
689000 374.502
690000 375.812
691000 375.47
692000 377.92
693000 378.829
694000 377.12
695000 376.853
696000 379.535
697000 379.752
698000 381.383
699000 382.147
700000 383.279
701000 382.458
702000 381.709
703000 382.348
704000 382.45
705000 383.611
706000 386.718
707000 385.846
708000 385.579
709000 385.576
710000 386.133
711000 386.398
712000 386.592
713000 387.521
714000 388.363
715000 389.275
716000 389.436
717000 391.46
718000 391.086
719000 390.912
720000 392.258
721000 391.214
722000 390.985
723000 389.361
724000 390.534
725000 390.791
726000 390.898
727000 391.928
728000 391.168
729000 390.407
730000 390.788
731000 392.781
732000 393.305
733000 394.895
734000 395.624
735000 397.148
736000 397.318
737000 398.315
738000 399.11
739000 399.468
740000 400.375
741000 399.592
742000 399.38
743000 399.967
744000 401.859
745000 402.139
746000 402.942
747000 403.586
748000 403.775
749000 404.18
750000 404.836
751000 405.645
752000 404.079
753000 403.236
754000 405.114
755000 405.33
756000 406.547
757000 405.449
758000 403.806
759000 406.64
760000 407.022
761000 407.637
762000 407.987
763000 408.329
764000 410.744
765000 408.722
766000 407.822
767000 410.311
768000 409.941
769000 409.352
770000 409.186
771000 409.555
772000 410.496
773000 411.513
774000 411.139
775000 410.854
776000 410.888
777000 413.047
778000 414.364
779000 414.896
780000 415.964
781000 418.437
782000 418.954
783000 420.291
784000 421.359
785000 420.13
786000 421.2
787000 422.249
788000 422.21
789000 422.381
790000 423.183
791000 423.023
792000 424.033
793000 423.269
794000 423.869
795000 423.598
796000 425.464
797000 426.598
798000 426.561
799000 426.929
800000 426.418
801000 427.768
802000 429.451
803000 430.459
804000 428.917
805000 429.35
806000 429.56
807000 431.654
808000 431.603
809000 433.823
810000 433.252
811000 434.786
812000 434.625
813000 435.724
814000 436.447
815000 434.586
816000 434.039
817000 434.867
818000 435.801
819000 435.585
820000 436.513
