# Time-averaged data for fix hot1
# TimeStep f_Hot
1000 -0.8278
2000 -2.17925
3000 -2.49839
4000 -2.76661
5000 -3.44366
6000 -4.32159
7000 -3.99456
8000 -5.58459
9000 -6.35392
10000 -7.505
11000 -7.16488
12000 -7.25163
13000 -6.98974
14000 -7.52879
15000 -8.07473
16000 -8.98384
17000 -9.53714
18000 -9.79341
19000 -10.7456
20000 -12.1438
21000 -13.3545
22000 -14.4141
23000 -14.3471
24000 -15.1843
25000 -17.1873
26000 -15.8368
27000 -16.0223
28000 -17.7925
29000 -17.7294
30000 -19.4904
31000 -19.5866
32000 -20.3179
33000 -19.978
34000 -19.9337
35000 -21.3939
36000 -22.0934
37000 -23.3424
38000 -23.3993
39000 -24.856
40000 -24.6828
41000 -24.7254
42000 -24.9743
43000 -25.0865
44000 -26.5691
45000 -26.8432
46000 -28.1322
47000 -29.0038
48000 -29.0965
49000 -30.3001
50000 -30.4817
51000 -32.6405
52000 -32.0222
53000 -32.9338
54000 -33.2649
55000 -34.1555
56000 -33.1953
57000 -33.9694
58000 -34.2235
59000 -34.7658
60000 -35.3111
61000 -37.6864
62000 -38.045
63000 -38.2103
64000 -38.3136
65000 -39.1954
66000 -40.0524
67000 -42.0178
68000 -41.8847
69000 -40.929
70000 -42.4272
71000 -42.098
72000 -43.1749
73000 -44.7392
74000 -44.9338
75000 -46.0599
76000 -46.0576
77000 -44.9254
78000 -46.4567
79000 -46.7639
80000 -47.7408
81000 -48.8926
82000 -50.2079
83000 -50.0757
84000 -50.4216
85000 -52.2485
86000 -52.3039
87000 -53.6533
88000 -53.6135
89000 -54.0302
90000 -55.3788
91000 -55.7646
92000 -56.1606
93000 -56.8805
94000 -58.4742
95000 -58.6539
96000 -59.1726
97000 -59.418
98000 -59.0628
99000 -59.5897
100000 -60.5109
101000 -60.0857
102000 -61.2798
103000 -61.0467
104000 -61.7342
105000 -61.2709
106000 -61.7189
107000 -62.075
108000 -62.3568
109000 -62.608
110000 -63.3357
111000 -64.4829
112000 -64.7792
113000 -64.9274
114000 -66.1408
115000 -66.218
116000 -68.1823
117000 -68.2609
118000 -68.4776
119000 -69.0981
120000 -70.5546
121000 -69.812
122000 -70.5491
123000 -70.8219
124000 -70.7963
125000 -71.8374
126000 -73.333
127000 -73.5491
128000 -74.4515
129000 -74.5456
130000 -74.6116
131000 -74.0832
132000 -74.7727
133000 -74.9796
134000 -74.9892
135000 -75.6563
136000 -76.6814
137000 -77.3518
138000 -76.8581
139000 -76.6409
140000 -77.1524
141000 -78.3502
142000 -77.7902
143000 -78.4267
144000 -79.3283
145000 -79.9998
146000 -81.2892
147000 -81.3754
148000 -81.3167
149000 -82.5
150000 -83.2243
151000 -84.6911
152000 -84.9467
153000 -86.2592
154000 -86.7505
155000 -88.9078
156000 -88.2829
157000 -88.1607
158000 -88.6377
159000 -89.3084
160000 -90.0508
161000 -90.8139
162000 -91.8224
163000 -92.2408
164000 -92.1526
165000 -92.3717
166000 -93.0029
167000 -94.0133
168000 -93.7763
169000 -94.0478
170000 -94.0628
171000 -95.2011
172000 -96.1743
173000 -95.9607
174000 -96.9586
175000 -96.2734
176000 -97.0537
177000 -98.1115
178000 -98.5453
179000 -99.341
180000 -100.551
181000 -100.085
182000 -100.492
183000 -101.876
184000 -101.167
185000 -102.778
186000 -102.528
187000 -103.714
188000 -104.045
189000 -103.771
190000 -103.82
191000 -104.816
192000 -105.091
193000 -105.599
194000 -106.712
195000 -107.768
196000 -108.437
197000 -108.453
198000 -108.99
199000 -109.91
200000 -111.032
201000 -110.801
202000 -111.003
203000 -113.331
204000 -112.708
205000 -113.894
206000 -113.501
207000 -113.876
208000 -113.926
209000 -115.043
210000 -115.815
211000 -118.789
212000 -118.298
213000 -118.929
214000 -118.755
215000 -118.144
216000 -119.199
217000 -118.697
218000 -119.994
219000 -119.816
220000 -120.589
221000 -122.466
222000 -123.469
