# Time-averaged data for fix cold1
# TimeStep f_Cold
1000 0.532227
2000 1.32948
3000 2.1083
4000 3.33228
5000 4.85155
6000 6.0935
7000 5.55874
8000 6.66543
9000 8.2439
10000 9.06081
11000 10.2159
12000 10.1734
13000 11.5076
14000 12.7462
15000 13.7508
16000 15.236
17000 14.9456
18000 13.8747
19000 14.3745
20000 15.9797
21000 16.5022
22000 16.5161
23000 16.8499
24000 17.5975
25000 19.4814
26000 20.5346
27000 21.868
28000 23.186
29000 23.5984
30000 24.4017
31000 25.9018
32000 25.2446
33000 25.3021
34000 27.2908
35000 27.5012
36000 28.0884
37000 29.1008
38000 29.5741
39000 30.6119
40000 30.2433
41000 30.4208
42000 31.1502
43000 32.3471
44000 33.6555
45000 34.0137
46000 34.7854
47000 35.6725
48000 36.6999
49000 35.8297
50000 36.9226
51000 38.3001
52000 40.3139
53000 40.6579
54000 39.7852
55000 41.2035
56000 41.964
57000 43.2742
58000 43.8004
59000 43.9037
60000 44.4475
61000 45.2061
62000 46.0155
63000 46.4759
64000 46.73
65000 47.701
66000 48.3622
67000 49.5109
68000 50.1264
69000 50.4844
70000 51.744
71000 53.776
72000 53.9258
73000 54.9909
74000 54.9696
75000 55.8978
76000 56.9595
77000 57.2817
78000 57.6032
79000 58.8218
80000 60.5273
81000 59.6422
82000 60.2462
83000 60.0516
84000 61.482
85000 63.0365
86000 63.0533
87000 64.6225
88000 64.9856
89000 66.662
90000 68.0794
91000 69.8913
92000 70.3706
93000 70.2983
94000 71.2084
95000 71.5102
96000 71.8576
97000 72.0156
98000 72.7341
99000 74.5534
100000 74.443
101000 74.5451
102000 74.8962
103000 75.6923
104000 76.0826
105000 75.9984
106000 77.7383
107000 78.4834
108000 78.8562
109000 79.2199
110000 79.9088
111000 81.2011
112000 81.3078
113000 82.2206
114000 83.3254
115000 83.9089
116000 84.5854
117000 85.8163
118000 85.909
119000 85.9436
120000 86.2418
121000 86.5821
122000 86.4966
123000 87.2155
124000 88.3753
125000 89.9397
126000 90.8511
127000 90.6764
128000 91.0499
129000 92.1032
130000 93.0732
131000 94.2919
132000 96.2632
133000 97.3804
134000 98.1983
135000 98.8458
136000 99.4529
137000 100.148
138000 102.238
139000 103.169
140000 103.236
141000 101.994
142000 103.009
143000 105.081
144000 105.632
145000 106.544
146000 106.889
147000 107.103
148000 107.706
149000 107.425
150000 108.102
151000 108.916
152000 109.504
153000 110.851
154000 111.203
155000 111.887
156000 112.974
157000 113.447
158000 114.881
159000 116.55
160000 116.551
161000 117.112
162000 117.349
163000 118.569
164000 118.807
165000 118.761
166000 120.349
167000 121.698
168000 122.605
169000 122.588
170000 124.207
171000 123.802
172000 124.222
173000 125.141
174000 126.734
175000 128.67
176000 128.896
177000 130.476
178000 130.355
179000 131.565
180000 132.435
181000 132.987
182000 134.417
183000 134.21
184000 134.87
185000 134.903
186000 135.712
187000 136.697
188000 136.817
189000 137.884
190000 138.473
191000 140.021
192000 139.917
193000 140.065
194000 140.276
195000 141.105
196000 141.596
197000 141.285
198000 142.251
199000 142.288
200000 142.189
201000 143.128
202000 143.734
203000 144.461
204000 144.324
205000 145.779
206000 146.715
207000 147.342
208000 147.472
209000 148.1
210000 149.03
211000 148.519
212000 148.35
213000 148.61
214000 148.232
215000 149.104
216000 150.596
217000 151.594
218000 151.557
219000 152.54
220000 153.466
221000 152.739
222000 153.625
223000 154.2
224000 153.508
225000 154.016
226000 155.333
227000 157.145
228000 158.508
229000 158.8
230000 158.67
231000 159.636
232000 160.097
233000 160.97
234000 160.64
235000 161.517
236000 162.446
237000 162.758
238000 164.259
239000 165.421
240000 166.049
241000 165.668
242000 166.865
243000 167.56
244000 168.257
245000 169.513
246000 168.939
247000 170.94
248000 172.777
249000 173.366
250000 173.506
251000 173.115
252000 173.827
253000 173.858
254000 174.732
255000 175.601
256000 176.945
257000 176.712
258000 177.126
259000 178.425
260000 179.147
261000 180.279
262000 180.69
263000 180.98
264000 180.884
265000 182.035
266000 183.547
267000 183.667
268000 184.947
269000 186.595
270000 186.461
271000 188.13
272000 189.315
273000 190.968
274000 190.881
275000 191.718
276000 193.296
277000 194.848
278000 194.124
279000 195.788
280000 196.058
281000 196.359
282000 197.082
283000 199.123
284000 200.418
285000 201.234
286000 202.335
287000 203.183
288000 203.3
289000 204.428
290000 204.686
291000 205.727
292000 207.046
293000 207.958
294000 207.87
295000 208.452
296000 208.636
297000 208.92
298000 210.14
299000 210.118
300000 212.202
301000 213.756
302000 214.67
303000 214.057
304000 214.853
305000 215.351
306000 216.021
307000 216.236
308000 216.616
309000 216.941
310000 217.035
311000 217.516
312000 218.922
313000 218.972
314000 220.681
315000 221.781
316000 223.886
317000 223.36
318000 223.862
319000 224.479
320000 224.832
321000 225.861
322000 226.099
323000 226.859
324000 227.424
325000 227.787
326000 227.298
327000 228.691
328000 230.017
329000 231.344
330000 232.832
331000 233.897
332000 235.645
333000 237.098
334000 238.428
335000 238.871
336000 240.256
337000 240.645
338000 241.362
339000 242.96
340000 243.579
341000 244.026
342000 244.361
343000 245.681
344000 246.727
345000 246.874
346000 246.553
347000 247.624
348000 248.717
349000 248.838
350000 248.66
351000 249.617
352000 250.338
353000 251.253
354000 251.174
355000 251.694
