# Chunk-averaged data for fix T_PROFILEZ_30 and group main
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
5000000 24 7175
  1 2.85857 0 0
  2 5.85857 290.258 319.154
  3 8.85857 563.864 316.234
  4 11.8586 439.612 311.59
  5 14.8586 371.266 310.514
  6 17.8586 514.855 309.446
  7 20.8586 344.742 308.946
  8 23.8586 390.403 308.861
  9 26.8586 464.085 308.076
  10 29.8586 240.173 307.83
  11 32.8586 420.742 307.538
  12 35.8586 400.876 307.074
  13 38.8586 214.316 306.198
  14 41.8586 384.808 306.075
  15 44.8586 317.43 305.072
  16 47.8586 222.571 304.572
  17 50.8586 334.992 303.717
  18 53.8586 226.994 302.797
  19 56.8586 238.014 301.773
  20 59.8586 284.915 299.56
  21 62.8586 146.023 295.187
  22 65.8586 244.062 285.559
  23 68.8586 120 279.328
  24 71.8586 0 0
10000000 24 7174.999999999999
  1 2.85857 0 0
  2 5.85857 290.262 319.152
  3 8.85857 563.858 316.129
  4 11.8586 439.663 311.499
  5 14.8586 371.217 310.791
  6 17.8586 514.852 309.731
  7 20.8586 344.725 309.492
  8 23.8586 390.424 309.525
  9 26.8586 464.079 308.851
  10 29.8586 240.221 308.417
  11 32.8586 420.7 308.165
  12 35.8586 400.818 307.356
  13 38.8586 214.376 306.817
  14 41.8586 384.806 306.436
  15 44.8586 317.448 305.544
  16 47.8586 222.553 304.739
  17 50.8586 334.992 303.744
  18 53.8586 226.961 302.912
  19 56.8586 238.047 301.491
  20 59.8586 284.912 299.813
  21 62.8586 145.993 295.235
  22 65.8586 244.096 285.435
  23 68.8586 120 279.261
  24 71.8586 0 0
