# Chunk-averaged data for fix T_PROFILEZ_30 and group main
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
5000000 24 7175.000000000002
  1 2.85857 7.39234 300.895
  2 5.85857 368.924 301.86
  3 8.85857 453.759 307.341
  4 11.8586 442.642 310.62
  5 14.8586 440.221 311.948
  6 17.8586 423.255 312.429
  7 20.8586 409.967 313.421
  8 23.8586 393.101 313.292
  9 26.8586 370.9 313.589
  10 29.8586 384.623 314.294
  11 32.8586 346.622 314.503
  12 35.8586 330.416 315.287
  13 38.8586 346.651 315.444
  14 41.8586 301.776 316.312
  15 44.8586 301.531 316.933
  16 47.8586 298.567 317.446
  17 50.8586 256.603 318.523
  18 53.8586 271.817 319.063
  19 56.8586 250.712 319.998
  20 59.8586 222.166 321.354
  21 62.8586 229.097 325.304
  22 65.8586 206.796 334.581
  23 68.8586 117.46 339.917
  24 71.8586 0 0
10000000 24 7175
  1 2.85857 7.40018 301.376
  2 5.85857 368.907 301.797
  3 8.85857 453.758 306.933
  4 11.8586 442.654 310.381
  5 14.8586 440.224 311.634
  6 17.8586 423.274 312.187
  7 20.8586 409.948 312.697
  8 23.8586 393.117 312.978
  9 26.8586 370.89 313.425
  10 29.8586 384.599 313.611
  11 32.8586 346.644 314.016
  12 35.8586 330.402 314.441
  13 38.8586 346.667 315.115
  14 41.8586 301.788 315.431
  15 44.8586 301.505 315.733
  16 47.8586 298.594 316.323
  17 50.8586 256.58 317.245
  18 53.8586 271.811 317.901
  19 56.8586 250.739 319.446
  20 59.8586 222.121 321.089
  21 62.8586 229.141 325.096
  22 65.8586 206.792 334.492
  23 68.8586 117.444 340.112
  24 71.8586 0 0
