# Chunk-averaged data for fix T_PROFILEZ_30 and group main
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
5000000 24 7175
  1 2.85857 29.2954 350.336
  2 5.85857 336.142 350.545
  3 8.85857 473.588 356.028
  4 11.8586 428.622 359.31
  5 14.8586 445.029 360.08
  6 17.8586 430.453 360.347
  7 20.8586 396.778 361.159
  8 23.8586 399.903 361.574
  9 26.8586 381.132 361.524
  10 29.8586 369.307 362.196
  11 32.8586 352.911 362.248
  12 35.8586 333.208 362.603
  13 38.8586 340.58 363.426
  14 41.8586 305.738 364.049
  15 44.8586 299.315 364.798
  16 47.8586 298.283 365.342
  17 50.8586 258.442 366.16
  18 53.8586 270.605 367.921
  19 56.8586 250.429 368.505
  20 59.8586 221.519 370.299
  21 62.8586 230.894 374.785
  22 65.8586 203.454 383.73
  23 68.8586 119.371 388.609
  24 71.8586 0 0
10000000 24 7174.999999999999
  1 2.85857 29.2827 350.242
  2 5.85857 336.147 350.6
  3 8.85857 473.607 356.056
  4 11.8586 428.613 359.822
  5 14.8586 445.023 360.911
  6 17.8586 430.471 361.752
  7 20.8586 396.769 362.193
  8 23.8586 399.891 362.277
  9 26.8586 381.138 362.729
  10 29.8586 369.304 363.371
  11 32.8586 352.905 363.505
  12 35.8586 333.221 363.672
  13 38.8586 340.557 364.199
  14 41.8586 305.765 364.483
  15 44.8586 299.316 365.11
  16 47.8586 298.278 365.741
  17 50.8586 258.424 366.736
  18 53.8586 270.625 367.189
  19 56.8586 250.411 368.346
  20 59.8586 221.538 370.331
  21 62.8586 230.868 374.631
  22 65.8586 203.476 383.861
  23 68.8586 119.369 388.703
  24 71.8586 0 0
