# Time-averaged data for fix hot1
# TimeStep f_Hot
1000 -0.791904
2000 -3.5411
3000 -6.95103
4000 -5.51274
5000 -6.40488
6000 -5.37065
7000 -8.47144
8000 -8.78024
9000 -10.8376
10000 -11.9479
11000 -13.3112
12000 -15.7024
13000 -13.8041
14000 -12.431
15000 -15.6558
16000 -14.0104
17000 -14.2896
18000 -16.073
19000 -16.1516
20000 -18.3722
21000 -20.7739
22000 -22.5355
23000 -23.5525
24000 -26.011
25000 -24.447
26000 -23.869
27000 -23.8125
28000 -25.7205
29000 -26.3634
30000 -25.4603
31000 -25.98
32000 -25.4878
33000 -23.8285
34000 -26.2018
35000 -24.5341
36000 -25.191
37000 -25.2694
38000 -24.8816
39000 -29.1622
40000 -30.7658
41000 -31.7162
42000 -30.3385
43000 -33.4076
44000 -36.4472
45000 -35.7586
46000 -35.0291
47000 -36.4612
48000 -35.8483
49000 -35.948
50000 -35.5795
51000 -36.3999
52000 -36.2217
53000 -37.4923
54000 -37.35
55000 -37.8915
56000 -35.9738
57000 -37.2837
58000 -37.2946
59000 -37.2361
60000 -40.3665
61000 -37.9227
62000 -40.3689
63000 -42.6454
64000 -43.1642
65000 -41.1943
66000 -42.021
67000 -42.5727
68000 -44.2415
69000 -45.0544
70000 -44.5398
71000 -42.7991
72000 -42.262
73000 -43.1551
74000 -43.0476
75000 -45.6063
76000 -46.7675
77000 -46.8851
78000 -48.3038
79000 -51.4817
80000 -50.3259
81000 -50.8549
82000 -50.5523
83000 -50.5745
84000 -53.1049
85000 -53.0268
86000 -56.2437
87000 -57.3679
88000 -58.4831
89000 -58.7955
90000 -58.6516
91000 -60.0861
92000 -61.0565
93000 -64.4247
94000 -65.0046
95000 -68.5135
96000 -66.9371
97000 -67.6052
98000 -67.9309
99000 -70.2094
100000 -70.3577
101000 -70.019
102000 -70.4864
103000 -69.054
104000 -70.0016
105000 -70.1455
106000 -68.0062
107000 -68.7749
108000 -70.1598
109000 -70.5448
110000 -74.0601
111000 -76.0368
112000 -75.0039
113000 -75.1793
114000 -77.093
115000 -79.1202
116000 -78.1531
117000 -77.5191
118000 -74.6673
119000 -75.7801
120000 -76.2988
121000 -77.1144
122000 -78.3233
123000 -77.6324
124000 -76.3823
125000 -74.9969
126000 -75.1046
127000 -76.2384
128000 -79.8433
129000 -78.2358
130000 -78.288
131000 -79.262
132000 -79.2395
133000 -81.4374
134000 -81.7724
135000 -78.9832
136000 -78.9864
137000 -82.0008
138000 -82.3032
139000 -84.4924
140000 -83.0291
141000 -83.4672
142000 -86.1346
143000 -86.6063
144000 -84.2203
145000 -85.5541
146000 -86.9032
147000 -90.2307
148000 -91.339
149000 -91.9359
150000 -92.8879
151000 -91.9131
152000 -92.1301
153000 -93.2305
154000 -92.6992
155000 -94.7716
156000 -95.0183
157000 -94.5649
158000 -95.8026
159000 -98.3991
160000 -97.2109
161000 -97.9603
162000 -99.8226
163000 -100.359
164000 -99.5813
165000 -99.5922
166000 -101.693
167000 -101.706
168000 -101.9
169000 -103.592
170000 -104.225
171000 -106.423
172000 -106.43
173000 -105.414
174000 -106.299
175000 -103.748
176000 -103.531
177000 -104.835
178000 -105.05
179000 -103.811
180000 -106.1
181000 -108.061
182000 -110.475
183000 -109.075
184000 -110.02
185000 -109.773
186000 -111.747
187000 -112.385
188000 -112.505
189000 -110.963
190000 -110.767
191000 -111.181
192000 -115.059
193000 -115.952
194000 -115.685
195000 -115.302
196000 -113.45
197000 -113.754
198000 -116.988
199000 -118.3
200000 -118.537
201000 -119.988
202000 -119.959
203000 -120.173
204000 -120.458
205000 -122.429
206000 -124.781
207000 -124.268
208000 -126.211
209000 -127.437
210000 -126.258
211000 -126.26
212000 -130.139
213000 -128.889
214000 -129.953
215000 -131.847
216000 -130.31
217000 -132.113
218000 -132.253
219000 -130.699
220000 -131.581
221000 -133.263
222000 -132.309
223000 -134.289
224000 -135.523
225000 -138.097
226000 -140.197
227000 -140.53
228000 -141.617
229000 -140.657
230000 -141.301
231000 -140.313
232000 -142.648
233000 -143.847
234000 -142.512
235000 -143.792
236000 -147.087
237000 -146.215
238000 -148.745
239000 -150.577
240000 -148.62
241000 -149.367
242000 -150.28
243000 -151.066
244000 -150.822
245000 -151.489
246000 -152.469
247000 -154.103
248000 -153.281
249000 -153.808
250000 -157.259
251000 -157.244
252000 -157.456
253000 -159.074
254000 -160.309
255000 -159.048
256000 -159.718
257000 -160
258000 -162.804
259000 -163.345
260000 -162.904
261000 -163.89
262000 -166.197
263000 -167.645
264000 -167.971
265000 -165.605
266000 -167.868
267000 -167.311
268000 -166.421
269000 -165.73
270000 -164.423
271000 -164.656
272000 -165.414
273000 -166.029
274000 -165.255
275000 -164.203
276000 -167.108
277000 -168.915
278000 -170.681
279000 -170.607
280000 -173.009
281000 -176.085
282000 -174.398
283000 -175.921
284000 -177.18
285000 -176.766
286000 -177.09
287000 -177.541
288000 -179.843
289000 -179.691
290000 -179.19
291000 -180.966
292000 -181.411
293000 -183.735
294000 -184.338
295000 -183.522
296000 -185.107
297000 -186.563
298000 -187.37
299000 -186.333
300000 -188.206
301000 -187.438
302000 -187.628
303000 -187.993
304000 -189.204
305000 -188.643
306000 -189.483
307000 -191.147
308000 -192.235
309000 -192.361
310000 -192.706
311000 -196.145
312000 -196.548
313000 -197.546
314000 -197.479
315000 -198.646
316000 -197.536
317000 -197.123
318000 -198.247
319000 -199.18
320000 -199.751
321000 -200.842
322000 -200.285
323000 -200.989
324000 -203.226
325000 -202.928
326000 -205.136
327000 -203.877
328000 -206.422
329000 -205.873
330000 -206.046
331000 -204.961
332000 -208.079
333000 -211.042
334000 -208.883
335000 -207.498
336000 -207.288
337000 -207.93
338000 -208.017
339000 -210.485
340000 -210.824
341000 -211.889
342000 -211.719
343000 -211.993
344000 -213.484
345000 -213.527
346000 -214.31
347000 -212.562
348000 -213.761
349000 -213.953
350000 -215.014
351000 -216.342
352000 -217.84
353000 -217.899
354000 -220.171
355000 -221.038
356000 -221.259
357000 -221.166
358000 -221.626
359000 -222.821
360000 -221.198
361000 -222.325
362000 -222.931
363000 -223.495
364000 -222.95
365000 -224.323
366000 -224.031
367000 -224.666
368000 -223.151
369000 -223.511
370000 -222.713
371000 -223.265
372000 -225.079
373000 -225.789
374000 -228.986
375000 -229.875
376000 -231.449
377000 -231.837
378000 -235.472
379000 -236.272
380000 -235.748
381000 -236.786
382000 -237.076
383000 -235.269
384000 -235.166
385000 -236.019
386000 -237.44
387000 -239.573
388000 -241.492
389000 -242.955
390000 -240.452
391000 -242.504
392000 -242.733
393000 -242.553
394000 -246.772
395000 -245.829
396000 -242.247
397000 -244.058
398000 -245.401
399000 -244.597
400000 -246.415
401000 -245.359
402000 -244.967
403000 -246.864
404000 -247.568
405000 -247.047
406000 -247.024
407000 -249.173
408000 -247.357
409000 -247.957
410000 -249.611
411000 -248.972
412000 -249.283
413000 -250.325
414000 -253.347
415000 -252.611
416000 -253.757
417000 -255.544
418000 -255.005
419000 -255.467
420000 -257.061
421000 -256.319
422000 -256.851
423000 -257.939
424000 -261.967
425000 -262.408
426000 -260.529
427000 -263.633
428000 -265.704
429000 -265.907
430000 -268.303
431000 -267.003
432000 -269.156
433000 -268.972
434000 -270.316
435000 -270.663
436000 -268.546
437000 -269.177
438000 -269.087
439000 -270.238
440000 -270.257
441000 -271.75
442000 -273.695
443000 -272.146
444000 -270.003
445000 -269.196
446000 -268.55
447000 -268.867
448000 -269.567
449000 -269.813
450000 -271.415
451000 -272.184
452000 -273.202
453000 -274.832
454000 -274.402
455000 -276.152
456000 -275.237
457000 -276.437
458000 -276.478
459000 -277.788
460000 -279.906
461000 -280.34
462000 -280.171
463000 -279.414
464000 -280.698
465000 -279.338
466000 -278.756
467000 -279.992
468000 -282.446
469000 -281.997
470000 -284.344
471000 -284.349
472000 -282.853
473000 -283.899
474000 -285.264
475000 -284.128
476000 -284.381
477000 -287.451
478000 -289.26
479000 -287.59
480000 -287.075
481000 -286.415
482000 -288.783
483000 -289.301
484000 -288.218
485000 -288.614
486000 -288.781
487000 -288.862
488000 -292.267
489000 -289.557
490000 -288.548
491000 -289.142
492000 -291.872
493000 -289.964
494000 -291.962
495000 -294.031
496000 -296.609
497000 -297.414
498000 -299.184
499000 -298.203
500000 -299.051
501000 -299.065
502000 -301.446
503000 -302.119
504000 -304.416
505000 -302.886
506000 -304.249
507000 -305.628
508000 -305.399
509000 -306.065
510000 -305.537
511000 -302.12
512000 -303.42
513000 -301.303
514000 -302.49
515000 -303.782
516000 -303.954
517000 -302.593
518000 -302.91
519000 -304.623
520000 -306.017
521000 -305.155
522000 -307.12
523000 -309.355
524000 -310.616
525000 -309.532
526000 -308.728
527000 -309.495
528000 -310.709
529000 -311.921
530000 -314.341
531000 -313.901
532000 -314.009
533000 -315.121
534000 -316.903
535000 -317.618
536000 -316.288
537000 -314.511
538000 -318.591
539000 -318.449
540000 -317.47
541000 -317.321
542000 -317.476
543000 -317.747
544000 -316.358
545000 -317.683
546000 -317.756
547000 -317.238
548000 -319.983
549000 -318.964
550000 -320.04
551000 -319.131
552000 -319.675
553000 -319.014
554000 -317.851
555000 -320.763
556000 -322.205
557000 -322.565
558000 -323.931
559000 -324.604
560000 -325.021
561000 -325.202
562000 -326.593
563000 -326.418
564000 -327.719
565000 -328.549
566000 -330.047
567000 -330.607
568000 -332.895
569000 -333.38
570000 -336.858
571000 -336.071
572000 -338.691
573000 -338.438
574000 -339.53
575000 -339.685
576000 -340.373
577000 -340.797
578000 -343.538
579000 -343.526
580000 -340.911
581000 -341.568
582000 -341.636
583000 -339.779
584000 -341.372
585000 -340.881
586000 -340.082
587000 -340.026
588000 -338.815
589000 -337.973
590000 -339.542
591000 -339.6
592000 -337.994
593000 -338.042
594000 -340.779
595000 -340.262
596000 -342.412
597000 -342.843
598000 -342.63
599000 -341.533
600000 -340.061
601000 -342.885
602000 -345.785
603000 -344.633
604000 -345.044
605000 -347.98
606000 -348.124
607000 -348.777
608000 -347.61
609000 -349.268
610000 -348.372
611000 -349.956
612000 -349.996
613000 -351.742
614000 -354.582
615000 -354.976
616000 -356.985
617000 -357.54
618000 -358.073
619000 -358.306
620000 -358.797
621000 -357.963
622000 -357.4
623000 -359.01
624000 -359.43
625000 -359.472
626000 -357.723
627000 -358.285
628000 -358.75
629000 -363.669
630000 -364.097
631000 -366.789
632000 -369.686
633000 -369.334
634000 -369.538
635000 -370.374
636000 -372.258
637000 -373.644
638000 -375.459
639000 -374.113
640000 -375.255
641000 -375.331
642000 -375.699
643000 -377.751
644000 -378.515
645000 -379.677
646000 -379.221
647000 -378.699
648000 -376.301
649000 -377.839
650000 -380.22
651000 -381.615
652000 -383.872
653000 -383.998
654000 -384.096
655000 -386.689
656000 -387.004
657000 -386.331
658000 -387.443
659000 -387.793
660000 -386.856
661000 -389.363
662000 -389.622
663000 -388.858
664000 -389.413
665000 -390.121
666000 -392.765
667000 -393.243
668000 -393.423
669000 -393.405
670000 -393.909
671000 -394.738
672000 -394.733
673000 -398.073
674000 -400.93
675000 -401.19
676000 -403.185
677000 -403.962
678000 -405.714
679000 -405.894
680000 -405.846
681000 -408.423
682000 -409.778
683000 -411.661
684000 -412.107
685000 -411.856
686000 -411.528
687000 -411.809
688000 -412.522
689000 -413.32
690000 -415.289
691000 -416.651
692000 -413.518
693000 -411.794
694000 -413.013
695000 -413.207
696000 -413.162
697000 -414.034
698000 -414.638
699000 -414.789
700000 -417.035
701000 -418.94
702000 -417.876
703000 -417.983
704000 -419.8
705000 -417.407
706000 -421.51
707000 -422.663
708000 -422.519
709000 -420.919
710000 -421.533
711000 -423.042
712000 -423.832
713000 -424.718
714000 -422.733
715000 -421.868
716000 -423.102
717000 -425.324
718000 -427.013
719000 -429.593
720000 -427.092
721000 -427.135
722000 -427.331
723000 -428.823
724000 -430.189
725000 -431.561
726000 -431.621
727000 -432.606
728000 -429.791
729000 -431.938
730000 -432.636
731000 -433.108
732000 -434.039
733000 -432.259
734000 -431.845
735000 -434.123
736000 -434.682
737000 -436.774
738000 -434.633
739000 -435.201
740000 -436.602
741000 -437.157
742000 -436.869
743000 -439.806
744000 -441.775
745000 -442.233
746000 -443.21
747000 -443.77
748000 -445.168
749000 -445.254
750000 -447.281
751000 -448.295
752000 -448.472
753000 -449.561
754000 -448.746
755000 -449.169
756000 -450.155
757000 -451.242
758000 -448.858
759000 -450.685
760000 -451.377
761000 -451.209
762000 -449.715
763000 -447.702
764000 -449.765
765000 -450.326
766000 -451.625
767000 -452.065
768000 -452.579
769000 -453.161
770000 -454.61
771000 -454.704
772000 -453.666
773000 -452.271
774000 -452.389
775000 -455.378
776000 -454.837
777000 -456.369
778000 -456.623
779000 -455.916
780000 -456.426
781000 -459.11
782000 -458.584
783000 -458.659
784000 -459.598
785000 -459.606
786000 -458.736
787000 -462.206
788000 -464.055
789000 -465.104
790000 -466.036
791000 -467.179
792000 -468.661
793000 -468.647
794000 -471.091
795000 -471.866
796000 -473.681
797000 -476.496
798000 -478.397
799000 -479.65
800000 -478.853
801000 -480.241
802000 -482.352
803000 -481.271
804000 -483.648
805000 -482.947
806000 -483.257
807000 -484.095
808000 -485.733
809000 -485.849
810000 -486.517
811000 -488.033
812000 -487.866
813000 -489.302
814000 -488.743
815000 -490.378
816000 -491.802
817000 -491.565
818000 -491.365
819000 -492.645
820000 -492.338
821000 -490.932
822000 -491.271
823000 -491.094
824000 -494.519
825000 -492.35
826000 -493.947
827000 -495.6
828000 -496.004
829000 -497.645
830000 -496.289
831000 -497.411
832000 -496.223
833000 -495.411
834000 -496.333
835000 -498.987
836000 -498.906
837000 -500.135
838000 -499.814
839000 -499.962
840000 -499.21
841000 -498.579
842000 -501.61
843000 -504.002
844000 -505.795
845000 -506.32
846000 -504.654
847000 -506.235
848000 -504.781
849000 -506.851
850000 -507.062
851000 -507.187
852000 -507.703
853000 -508.895
854000 -510.425
855000 -510.365
856000 -510.676
857000 -510.859
858000 -511.576
859000 -512.342
860000 -514.036
861000 -513.006
862000 -514.494
863000 -517.875
864000 -520.457
865000 -522.396
866000 -523.649
867000 -522.054
868000 -522.109
869000 -521.78
870000 -523.005
871000 -526.175
872000 -527.571
873000 -528.852
874000 -529.623
875000 -530.172
876000 -529.489
877000 -530.269
878000 -528.76
879000 -529.348
880000 -531.142
881000 -533.4
882000 -530.929
883000 -531.296
884000 -531.094
885000 -531.21
886000 -531.63
887000 -531.97
888000 -533.941
889000 -536.188
890000 -538.346
891000 -538.49
892000 -540.754
893000 -541.701
894000 -542.6
895000 -542.564
896000 -542.245
897000 -544.405
898000 -545.127
899000 -544.92
900000 -546.05
901000 -543.46
902000 -544.325
903000 -544.043
904000 -544.792
905000 -542.56
906000 -542.635
907000 -544.865
908000 -545.282
909000 -546.148
910000 -543.627
911000 -545.107
912000 -544.608
913000 -544.21
914000 -544.894
915000 -544.425
916000 -545.567
917000 -546.208
918000 -548.238
919000 -548.515
920000 -549.771
921000 -548.765
922000 -550.786
923000 -549.283
924000 -548.858
925000 -549.47
926000 -550.069
927000 -550.958
928000 -550.829
929000 -551.442
930000 -552.315
931000 -553.694
932000 -553.066
933000 -552.223
934000 -550.708
935000 -553.208
936000 -552.469
937000 -550.958
938000 -551.452
939000 -552.142
940000 -554.328
941000 -552.975
942000 -553.344
943000 -554.115
944000 -556.291
945000 -555.514
946000 -556.385
947000 -555.201
948000 -558.276
949000 -559.012
950000 -558.585
951000 -560.924
952000 -558.82
953000 -559.521
954000 -561.91
955000 -563.207
956000 -563.745
957000 -564.877
958000 -562.467
959000 -562.655
960000 -563.547
961000 -564.216
962000 -566.308
963000 -569.965
964000 -569.092
965000 -567.763
966000 -568.927
967000 -569.63
968000 -571.506
969000 -571.426
970000 -572.277
971000 -571.282
972000 -571.498
973000 -573.072
974000 -572.341
975000 -572.796
976000 -574.002
977000 -573.688
978000 -574.442
979000 -573.818
980000 -575.859
981000 -576.79
982000 -575.466
983000 -576.614
984000 -575.963
985000 -578.452
986000 -581.188
987000 -581.313
988000 -582.877
989000 -585.085
990000 -585.814
991000 -584.579
992000 -586.431
993000 -586.813
994000 -589.863
995000 -588.086
996000 -588.208
997000 -588.116
998000 -589.566
999000 -591.382
1000000 -590.364
1001000 -588.713
1002000 -590.275
1003000 -592.15
1004000 -590.818
1005000 -591.778
1006000 -592.051
1007000 -594.218
1008000 -596.496
1009000 -595.86
1010000 -596.259
1011000 -596.092
1012000 -594.877
1013000 -594.826
1014000 -592.097
1015000 -593.044
1016000 -594.2
1017000 -592.863
1018000 -593.114
1019000 -594.103
1020000 -594.11
1021000 -595.929
1022000 -597.105
1023000 -596.221
1024000 -597.485
1025000 -598.232
1026000 -599.671
1027000 -601.889
1028000 -600.998
1029000 -599.761
1030000 -603.467
1031000 -604.248
1032000 -603.777
1033000 -604.903
1034000 -605.237
1035000 -606.79
1036000 -604.455
1037000 -603.606
1038000 -603.148
1039000 -603.099
1040000 -603.896
1041000 -605.809
1042000 -603.404
1043000 -603.743
1044000 -606.974
1045000 -605.263
1046000 -607.927
1047000 -607.995
1048000 -609.984
1049000 -610.814
1050000 -611.345
1051000 -612.812
1052000 -610.086
1053000 -611.437
1054000 -613.023
1055000 -613.867
1056000 -612.576
1057000 -611.997
1058000 -613.861
1059000 -613.38
1060000 -613.729
1061000 -616.469
1062000 -619.318
1063000 -619.427
1064000 -617.88
1065000 -617.414
1066000 -619.56
1067000 -618.695
1068000 -618.269
1069000 -619.704
1070000 -617.558
1071000 -617.798
1072000 -620.25
1073000 -618.366
1074000 -620.796
1075000 -619.016
1076000 -621.074
1077000 -622.506
1078000 -622.39
1079000 -624.465
1080000 -626.095
1081000 -628.727
1082000 -630.47
1083000 -630.879
1084000 -630.57
1085000 -629.341
1086000 -628.239
1087000 -629.871
1088000 -629.931
1089000 -632.111
1090000 -632.269
1091000 -630.114
1092000 -630.04
1093000 -631.88
1094000 -633.567
1095000 -632.301
1096000 -635.195
1097000 -634.021
1098000 -635.2
1099000 -635.956
1100000 -635.056
1101000 -635.795
1102000 -638.146
1103000 -636.617
1104000 -635.845
1105000 -637.456
1106000 -640.398
1107000 -639.442
1108000 -640.115
1109000 -639.683
1110000 -641.318
1111000 -641.485
1112000 -643.46
1113000 -644.888
1114000 -646.07
1115000 -646.813
1116000 -646.81
1117000 -648.974
1118000 -648.331
1119000 -651.058
1120000 -651.862
1121000 -653.119
1122000 -654.442
1123000 -654.835
1124000 -655.58
1125000 -654.63
1126000 -656.813
1127000 -656.236
1128000 -656.637
1129000 -659.835
1130000 -661.255
1131000 -662.667
1132000 -661.995
1133000 -662.754
1134000 -660.161
1135000 -661.675
1136000 -662.587
1137000 -662.583
1138000 -662
1139000 -662.142
1140000 -662.704
1141000 -665.394
1142000 -667.526
1143000 -667.998
1144000 -670.059
1145000 -672.412
1146000 -673.413
1147000 -672.984
1148000 -671.843
1149000 -672.268
1150000 -669.625
1151000 -669.841
1152000 -671.514
1153000 -672.609
1154000 -673.36
1155000 -675.29
1156000 -673.98
1157000 -673.664
1158000 -675.377
1159000 -676.424
1160000 -675.043
1161000 -675.941
1162000 -676.34
1163000 -677.443
1164000 -679.092
1165000 -679.077
1166000 -680.002
1167000 -680.079
1168000 -679.909
1169000 -680.998
1170000 -680.961
1171000 -680.273
1172000 -682.783
1173000 -681.665
1174000 -680.241
1175000 -680.18
1176000 -681.953
1177000 -681.041
1178000 -680.149
1179000 -681.442
1180000 -681.713
1181000 -682.095
1182000 -682.874
1183000 -683.495
1184000 -683.096
1185000 -685.078
1186000 -685.836
1187000 -684.766
1188000 -686.466
1189000 -687.067
1190000 -687.191
1191000 -687.949
1192000 -686.804
1193000 -689.274
1194000 -689.443
1195000 -690.454
1196000 -689.43
1197000 -689.717
1198000 -692.762
1199000 -693.544
1200000 -696.521
1201000 -697.813
1202000 -696.158
1203000 -698.762
1204000 -699.119
1205000 -700.579
1206000 -703.754
1207000 -703.388
1208000 -701.908
1209000 -703.288
1210000 -702.394
1211000 -702.754
1212000 -702.384
1213000 -702.02
1214000 -702.202
1215000 -704.329
1216000 -706.898
1217000 -707.03
1218000 -707.129
1219000 -707.843
1220000 -707.945
1221000 -710.674
1222000 -711.074
1223000 -712.184
1224000 -711.257
1225000 -714.794
1226000 -716.634
1227000 -718.912
1228000 -718.083
1229000 -715.351
1230000 -716.667
1231000 -716.364
1232000 -718.076
1233000 -716.158
1234000 -716.673
1235000 -715.659
1236000 -717.979
1237000 -719.45
