# Chunk-averaged data for fix T_PROFILEZ_30 and group main
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
5000000 24 7174.999999999999
  1 2.85857 29.1649 389.773
  2 5.85857 336.266 389.551
  3 8.85857 473.506 386.715
  4 11.8586 428.727 384.385
  5 14.8586 444.832 383.196
  6 17.8586 430.44 383.126
  7 20.8586 396.805 382.341
  8 23.8586 399.83 381.806
  9 26.8586 381.04 381.223
  10 29.8586 369.345 380.682
  11 32.8586 352.927 380.318
  12 35.8586 333.214 379.973
  13 38.8586 340.553 379.45
  14 41.8586 305.756 378.499
  15 44.8586 299.501 378.245
  16 47.8586 298.103 377.512
  17 50.8586 258.401 376.41
  18 53.8586 270.826 376.417
  19 56.8586 250.278 374.739
  20 59.8586 221.67 373.048
  21 62.8586 230.916 369.758
  22 65.8586 203.512 358.454
  23 68.8586 119.384 350.298
  24 71.8586 0 0
10000000 24 7175
  1 2.85857 29.1436 389.78
  2 5.85857 336.28 389.648
  3 8.85857 473.522 386.63
  4 11.8586 428.716 384.224
  5 14.8586 444.835 382.869
  6 17.8586 430.429 381.868
  7 20.8586 396.834 381.736
  8 23.8586 399.835 381.602
  9 26.8586 381.023 381.812
  10 29.8586 369.337 380.818
  11 32.8586 352.944 380.126
  12 35.8586 333.201 379.651
  13 38.8586 340.558 379.178
  14 41.8586 305.753 378.447
  15 44.8586 299.5 377.733
  16 47.8586 298.108 377.107
  17 50.8586 258.419 375.81
  18 53.8586 270.788 375.631
  19 56.8586 250.294 373.945
  20 59.8586 221.676 372.426
  21 62.8586 230.906 368.896
  22 65.8586 203.506 358.645
  23 68.8586 119.392 350.176
  24 71.8586 0 0
