# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 0.640334 0.367869
2000 0.450042 0.165191
3000 -0.371689 -0.178293
4000 0.296178 0.135991
5000 1.38546 -1.16417
6000 1.62163 -0.801091
7000 1.73272 -0.541478
8000 1.93288 -0.631859
9000 2.26477 -1.61083
10000 1.98565 -1.19398
11000 2.58523 -1.53133
12000 2.11427 -1.66641
13000 2.24256 -1.41952
14000 2.46753 -1.42915
15000 3.60014 -2.0192
16000 3.4975 -2.54499
17000 3.16835 -2.60879
18000 2.21453 -2.8581
19000 2.39657 -3.72773
20000 2.90517 -4.25252
21000 2.7785 -3.30991
22000 3.27041 -4.46466
23000 3.10143 -3.54364
24000 3.08996 -2.98465
25000 2.51676 -2.54852
26000 3.18807 -4.3343
27000 2.89347 -4.1631
28000 3.55789 -4.94947
29000 3.82658 -5.65556
30000 4.7276 -5.78602
31000 4.87686 -5.54046
32000 4.06858 -5.35005
33000 3.72165 -5.73814
34000 4.23135 -5.27448
35000 4.62198 -5.59776
36000 4.72026 -5.5282
37000 4.62941 -5.62846
38000 4.88903 -6.76392
39000 4.9532 -6.04076
40000 5.04238 -6.91765
41000 5.955 -7.35853
42000 5.80885 -7.79036
43000 6.25757 -8.41255
44000 7.22881 -7.41535
45000 6.84827 -7.72611
46000 7.69337 -7.24017
47000 7.96657 -7.72284
48000 7.84535 -6.89499
49000 8.51763 -7.56028
50000 8.04786 -7.91832
51000 7.90088 -8.21955
52000 8.12063 -7.35347
53000 8.95246 -7.11541
54000 8.7375 -8.50288
55000 8.58428 -8.49814
56000 9.36281 -8.86359
57000 9.02093 -8.93908
58000 8.88819 -8.54689
59000 9.82533 -8.76687
60000 10.0094 -8.85075
61000 9.791 -8.87743
62000 9.63441 -9.36997
63000 9.78955 -9.51315
64000 9.28666 -9.90094
65000 10.988 -9.85628
66000 9.95031 -9.53503
67000 10.192 -10.6372
68000 10.0961 -11.345
69000 10.154 -10.3593
70000 10.1897 -11.006
71000 9.65621 -11.1528
72000 10.5262 -10.7993
73000 10.7468 -11.1295
74000 11.1744 -11.2611
75000 11.5916 -11.1222
76000 12.2225 -11.336
77000 12.5687 -12.0122
78000 11.9311 -12.8168
79000 12.3963 -13.4156
80000 12.0213 -13.9061
81000 12.5577 -13.7692
82000 13.207 -13.0862
83000 13.8218 -13.7988
84000 14.3673 -14.6185
85000 14.446 -14.6013
86000 14.8486 -14.4241
87000 15.0756 -14.1856
88000 13.8988 -14.7849
89000 14.8919 -15.3226
90000 15.1683 -15.1129
91000 14.9214 -14.1721
92000 15.6662 -15.3391
93000 16.0533 -14.978
94000 17.0841 -15.5342
95000 16.7656 -15.7853
96000 16.2455 -17.2107
97000 17.745 -15.8528
98000 17.527 -17.0255
99000 17.2472 -16.5361
100000 17.7524 -16.4162
101000 18.2342 -16.3487
102000 17.6847 -15.7439
103000 17.845 -15.8097
104000 18.3151 -16.1809
105000 18.309 -16.5441
106000 18.5803 -17.1172
107000 19.2725 -16.5785
108000 20.064 -17.6012
109000 20.2852 -17.8336
110000 20.3962 -18.1364
111000 20.923 -18.1858
112000 20.3284 -18.0892
113000 19.8953 -18.4318
114000 20.775 -19.5188
115000 20.8452 -19.4371
116000 20.7997 -19.6824
117000 21.9513 -19.7772
118000 21.7126 -19.7125
119000 22.1601 -20.0287
120000 22.2037 -21.0113
121000 22.586 -21.6591
122000 22.5034 -21.3901
123000 22.582 -21.2496
124000 23.0205 -22.3746
125000 23.3536 -21.9318
126000 23.9632 -22.0902
127000 24.6377 -21.3995
128000 24.8286 -21.7636
129000 24.8856 -21.4141
130000 25.4098 -22.5026
131000 24.3393 -22.5889
132000 24.747 -22.6435
133000 25.6912 -22.6679
134000 25.2989 -21.6454
135000 25.4804 -22.5072
136000 25.199 -22.5914
137000 24.9256 -23.0691
138000 25.545 -22.973
139000 26.0342 -23.3958
140000 25.2694 -23.6332
141000 25.9825 -23.8771
142000 26.3532 -24.3072
143000 27.1335 -24.7228
144000 27.3492 -25.4768
145000 27.7072 -26.5167
146000 27.7577 -26.0418
147000 27.7918 -25.8342
148000 28.3682 -26.8361
149000 28.4787 -26.7466
150000 29.4476 -27.0946
151000 29.5723 -27.6703
152000 29.6266 -27.5467
153000 30.0376 -27.0517
154000 29.4335 -27.1034
155000 29.8749 -27.2338
156000 30.3659 -27.6482
157000 30.2711 -27.187
158000 30.4722 -27.4231
159000 30.0298 -28.1913
160000 30.7976 -27.8447
161000 30.8353 -28.6213
162000 31.0324 -28.3102
163000 31.0138 -29.0304
164000 32.0002 -29.9214
165000 31.6805 -29.2563
166000 32.5177 -29.1863
167000 32.2397 -28.9676
168000 32.2127 -29.2164
169000 32.0237 -28.6822
170000 32.4983 -29.2329
171000 33.4709 -29.3556
172000 33.6562 -28.7332
173000 34.0543 -28.6406
174000 34.2886 -29.3695
175000 34.1419 -28.8549
176000 34.5936 -28.4683
177000 34.2064 -29.5628
178000 34.8505 -30.2031
179000 34.9378 -29.8043
180000 34.8818 -30.715
181000 34.4511 -31.4363
182000 35.1437 -31.2238
183000 35.2495 -31.3566
184000 35.2669 -32.136
185000 35.3857 -32.2534
186000 35.2463 -33.0094
187000 36.1151 -33.0277
188000 36.4875 -33.0102
189000 36.8411 -33.2033
190000 37.4495 -34.0883
191000 37.2413 -33.9429
192000 37.736 -33.7793
193000 38.4043 -34.1162
194000 38.3568 -33.7917
195000 37.9707 -34.3908
196000 37.6829 -34.1315
197000 38.4844 -33.6175
198000 38.9031 -33.9016
199000 38.7093 -34.0973
200000 39.4391 -34.3338
201000 40.0907 -35.5673
202000 39.998 -34.9988
203000 39.1964 -34.9818
204000 39.2001 -34.2107
205000 40.125 -34.9844
206000 40.2161 -34.5279
207000 40.6579 -34.997
208000 40.7393 -35.5737
209000 40.314 -35.625
210000 39.9995 -35.9444
211000 40.302 -35.4836
212000 39.9493 -36.4627
213000 40.3084 -36.8622
214000 40.6049 -36.62
215000 40.2276 -36.8568
216000 39.9168 -37.8013
217000 40.1396 -37.4453
218000 40.1349 -38.8593
219000 40.1694 -38.1435
220000 40.0406 -38.6906
221000 40.0675 -38.2418
222000 39.6586 -38.0627
223000 40.3066 -38.2533
224000 41.0203 -38.4203
225000 40.2867 -38.1005
226000 41.5289 -38.714
227000 41.7187 -38.8977
228000 42.2453 -39.7885
229000 41.8733 -39.576
230000 42.3624 -39.6579
231000 42.416 -39.9251
232000 42.0581 -40.3345
233000 42.1126 -40.4212
234000 41.5874 -40.2007
235000 42.8304 -41.5126
236000 42.9902 -41.9708
237000 43.1867 -41.5689
238000 43.3277 -41.6569
239000 43.7639 -42.243
240000 43.7226 -42.3496
241000 43.2035 -41.9194
242000 44.1844 -42.4796
243000 44.66 -42.6462
244000 44.3602 -43.3201
245000 44.4538 -43.2121
246000 45.2433 -43.185
247000 45.6103 -42.5237
248000 45.7112 -43.9289
249000 46.0989 -43.8381
250000 45.8403 -43.6914
251000 46.2064 -44.2134
252000 45.9621 -44.6931
253000 46.2731 -45.0605
254000 45.9178 -44.9695
255000 45.854 -44.8968
256000 46.0313 -44.3676
257000 46.5885 -44.6538
258000 46.555 -44.8179
259000 46.8907 -45.2948
260000 46.8604 -45.5061
261000 46.3876 -46.0394
262000 46.7332 -45.707
263000 46.6823 -44.5739
264000 47.4995 -45.0342
265000 47.49 -45.713
266000 48.1654 -45.7125
267000 47.4167 -45.9493
268000 48.3104 -46.3607
269000 48.6364 -47.0007
270000 49.068 -46.6906
271000 48.8229 -46.0053
272000 48.0851 -46.9976
273000 48.7035 -47.4698
274000 47.795 -47.5983
275000 48.2916 -47.6492
276000 49.3076 -47.84
277000 49.5875 -47.4911
278000 50.1992 -47.8792
279000 49.7599 -48.4645
280000 50.6781 -49.1743
281000 50.687 -48.46
282000 50.4219 -48.6481
283000 50.2742 -48.9706
284000 50.6759 -49.5316
285000 51.0203 -49.1829
286000 51.0617 -49.8031
287000 51.8417 -49.7172
288000 52.0192 -49.7314
289000 52.3075 -50.6151
290000 52.3964 -50.0955
291000 52.7693 -50.3001
292000 52.735 -50.3033
293000 52.2598 -50.1608
294000 52.806 -49.9531
295000 52.6526 -50.627
296000 52.5734 -50.6508
297000 52.5748 -50.1809
298000 53.2903 -49.5243
299000 53.2487 -51.1818
300000 54.3184 -50.937
301000 53.3236 -50.9996
302000 53.6762 -51.431
303000 53.1722 -51.8836
304000 53.3068 -52.1952
305000 53.3033 -52.4072
306000 53.6973 -53.1279
307000 52.8289 -52.7207
308000 52.7078 -52.75
309000 52.9194 -52.8467
310000 52.9973 -53.7346
311000 52.3412 -53.4753
312000 52.6157 -53.4332
313000 53.0622 -53.0094
314000 52.9212 -54.6296
315000 53.3816 -54.4144
316000 53.046 -54.8042
317000 52.8731 -54.2643
318000 53.8739 -54.6506
319000 54.0567 -54.5729
320000 53.6966 -54.0822
321000 53.1799 -54.9357
322000 53.2972 -54.2223
323000 53.7227 -55.2978
324000 54.583 -55.4906
325000 54.6316 -55.8414
326000 54.5825 -56.1575
327000 55.457 -56.1814
328000 55.1894 -56.1608
329000 56.219 -56.5666
330000 55.9419 -56.8241
331000 55.9329 -57.0251
332000 56.2822 -57.2881
333000 56.5403 -56.9215
334000 56.2855 -56.6849
335000 56.6654 -56.5328
336000 57.0409 -56.7641
337000 57.8857 -57.1899
338000 57.0662 -57.2136
339000 58.1112 -56.9026
340000 58.1687 -57.2268
341000 58.3604 -58.4229
342000 58.435 -58.3463
343000 58.3872 -59.2374
344000 58.8465 -58.3575
345000 58.4036 -58.856
346000 58.3619 -59.063
347000 58.6861 -59.2781
348000 58.725 -59.6111
349000 59.6242 -59.8102
350000 58.7049 -60.263
351000 59.0475 -59.8963
352000 59.3882 -60.058
353000 58.6236 -59.7281
354000 58.4977 -60.0763
355000 58.7521 -60.629
356000 59.8349 -59.7955
357000 60.1458 -59.8296
358000 60.4055 -60.3098
359000 60.7375 -60.8398
360000 60.6496 -60.2929
361000 60.3804 -61.0631
362000 60.8046 -61.5855
363000 61.0067 -61.7107
364000 60.8135 -61.6759
365000 61.0026 -62.1877
366000 61.1172 -62.8147
367000 61.0884 -63.0227
368000 61.7078 -63.5585
369000 61.3319 -63.1686
370000 60.7344 -63.1373
371000 60.599 -63.707
372000 61.2414 -63.9443
373000 61.7598 -64.5467
374000 61.3771 -64.116
375000 61.5545 -64.0863
376000 62.7614 -64.5206
377000 62.093 -64.0821
378000 62.3624 -64.6059
379000 62.7934 -64.0042
380000 63.0504 -63.9889
381000 62.7823 -64.8429
382000 62.5221 -64.8336
383000 62.3837 -63.7902
384000 61.8781 -65.0363
385000 62.9125 -64.4112
386000 63.2893 -64.4367
387000 63.6712 -64.6844
388000 63.9688 -64.7413
389000 63.4851 -65.5063
390000 63.4781 -65.5019
391000 62.988 -65.3996
392000 63.5153 -65.9498
393000 63.521 -66.8653
394000 63.0919 -67.0883
395000 63.9681 -68.1578
396000 64.615 -67.6828
397000 63.8711 -67.5155
398000 63.564 -67.3336
399000 63.5515 -67.3487
400000 64.6085 -67.7505
401000 64.4945 -67.7909
402000 65.187 -67.2617
403000 64.8769 -67.6048
404000 64.6713 -68.2375
405000 64.3534 -68.8618
406000 64.1096 -68.7377
407000 63.9946 -68.9699
408000 64.0043 -69.7282
409000 64.605 -70.3048
410000 65.6325 -69.8781
411000 65.3223 -69.9802
412000 65.8443 -70.1117
413000 64.9634 -70.4442
414000 65.9263 -71.5313
415000 65.7344 -71.3796
416000 66.0552 -72.356
417000 66.739 -72.6944
418000 66.22 -72.7993
419000 66.276 -72.7205
420000 67.2373 -72.4328
421000 67.5328 -73.0555
422000 67.8516 -71.684
423000 68.1473 -71.5255
424000 68.2888 -71.8213
425000 68.8039 -72.2786
426000 69.186 -71.7219
427000 68.8632 -71.5948
428000 69.3042 -71.759
429000 69.2974 -72.0048
430000 69.1856 -72.4142
431000 69.3581 -72.7185
432000 69.0737 -73.0952
433000 69.1989 -72.6331
434000 69.2064 -73.6461
435000 69.1461 -74.1536
436000 69.9119 -73.7287
437000 69.6531 -74.5026
438000 69.8152 -73.7581
439000 69.9604 -74.2469
440000 70.8993 -75.1896
441000 71.3754 -74.145
442000 72.2081 -74.6088
443000 72.3339 -73.8808
444000 71.4736 -73.0368
445000 72.2037 -73.594
446000 72.1759 -74.3521
447000 72.4676 -74.0271
448000 72.7505 -74.3571
449000 74.0562 -74.4367
450000 73.9821 -72.9822
451000 74.3082 -74.2375
452000 73.4878 -74.7747
453000 73.9297 -74.5166
454000 73.4888 -74.8203
455000 74.3071 -74.3591
456000 74.1971 -74.5777
457000 74.2275 -75.2968
458000 73.4634 -74.8788
459000 74.2611 -75.2407
460000 74.45 -76.4007
461000 74.1045 -75.9009
462000 74.4504 -76.0283
463000 75.0224 -76.3052
464000 75.2121 -75.7079
465000 74.5056 -75.951
466000 75.4474 -75.8775
467000 76.1553 -75.688
468000 76.342 -75.319
469000 76.3583 -76.6053
470000 76.1241 -77.3999
471000 76.162 -76.9541
472000 76.6212 -76.7596
473000 76.5374 -76.6205
474000 76.1559 -77.202
475000 76.6083 -77.0764
476000 77.1412 -76.9879
477000 77.2899 -77.416
478000 77.4965 -77.3351
479000 77.7502 -77.795
480000 76.837 -77.2455
481000 77.3162 -77.5565
482000 77.5527 -77.7129
483000 78.5933 -77.5951
484000 77.6922 -78.2324
485000 77.7387 -78.6141
486000 78.0252 -77.6835
487000 78.2093 -78.8513
488000 78.4802 -78.9446
489000 78.2802 -78.7916
490000 78.4028 -79.2289
491000 78.6269 -79.3702
492000 77.9568 -79.259
493000 77.3864 -78.8298
494000 77.6211 -79.2437
495000 77.681 -78.9924
496000 78.0103 -79.8994
497000 78.5387 -80.6687
498000 78.6462 -79.6172
499000 79.2067 -80.5379
500000 78.5403 -80.1847
501000 79.5088 -79.9539
502000 79.3929 -79.8388
503000 80.135 -79.7652
504000 80.0823 -79.9855
505000 80.0012 -80.0245
506000 80.5252 -80.9133
507000 81.0718 -81.5469
508000 80.7794 -81.5298
509000 81.6564 -82.1644
510000 81.033 -81.8494
511000 80.9442 -81.9522
512000 81.8719 -81.8579
513000 81.8525 -81.9608
514000 82.38 -81.2267
515000 82.6517 -81.4735
516000 82.4136 -81.2966
517000 82.4355 -82.6249
518000 82.5168 -82.1428
519000 83.182 -81.9646
520000 83.0492 -82.0109
521000 83.9513 -81.5395
522000 83.2936 -81.7689
523000 83.352 -81.8925
524000 83.5351 -82.1678
525000 83.73 -82.6079
526000 84.8604 -83.2495
527000 85.3735 -84.8494
528000 85.7233 -83.9397
529000 85.2364 -83.9389
530000 84.8194 -83.9576
531000 84.9187 -83.1576
532000 85.3203 -84.0962
533000 86.2813 -84.6906
534000 86.1523 -84.1899
535000 86.5077 -84.0486
536000 85.9878 -83.6908
537000 86.3118 -84.2308
538000 87.3757 -84.1912
539000 87.0788 -84.4012
540000 87.003 -84.0696
541000 86.641 -84.0317
542000 86.3884 -84.961
543000 86.4028 -84.8416
544000 86.6839 -85.8214
545000 87.2205 -86.05
546000 87.3937 -86.3884
547000 86.7237 -85.3791
548000 86.7902 -85.5349
549000 87.7016 -86.4689
550000 88.3793 -86.5266
551000 88.4719 -85.9711
552000 88.7623 -86.7636
553000 89.0675 -86.8929
554000 88.8911 -86.1433
555000 89.1352 -87.0651
556000 89.5058 -86.457
557000 88.9587 -86.3206
558000 89.714 -86.5478
559000 90.7103 -86.5739
560000 90.5905 -86.575
561000 91.2332 -87.6503
562000 91.9057 -88.8818
563000 91.9718 -88.6386
564000 91.3983 -88.3303
565000 92.2664 -87.8085
566000 92.3306 -88.1006
567000 92.2917 -88.3346
568000 92.5336 -88.552
569000 93.0236 -89.0382
570000 92.6433 -89.4251
571000 93.0629 -90.0221
572000 92.832 -90.1843
573000 93.0226 -90.3083
574000 93.3474 -91.2441
575000 93.5003 -90.7302
576000 94.3007 -90.8396
577000 94.315 -90.9414
578000 94.9403 -90.3737
579000 95.1636 -91.6776
580000 95.7059 -91.2756
581000 95.5373 -91.1647
582000 95.4497 -91.3262
583000 96.8726 -91.3584
584000 96.2782 -92.1431
585000 96.2135 -92.8504
586000 95.3968 -93.1424
587000 95.4963 -93.5619
588000 95.7544 -93.3898
589000 96.8044 -93.491
590000 97.3582 -93.3055
591000 98.0302 -93.1539
592000 97.7555 -93.6944
593000 97.1604 -93.6215
594000 97.707 -94.0669
595000 97.2033 -94.9649
596000 96.6588 -95.1296
597000 96.8967 -94.5091
598000 96.6028 -94.102
599000 96.9296 -94.5519
600000 97.8388 -94.8844
601000 97.3631 -94.6069
602000 97.4985 -93.5556
603000 97.8802 -94.0307
604000 99.2211 -94.6372
605000 99.0013 -94.2738
606000 99.0755 -95.2164
607000 99.436 -96.1796
608000 98.9618 -96.1205
609000 98.7414 -95.9323
610000 98.7431 -96.2649
611000 99.4433 -95.6849
612000 99.6048 -95.9394
613000 99.5305 -94.9875
614000 100.31 -96.0613
615000 100.627 -96.0127
616000 100.305 -95.7402
617000 99.8638 -96.4322
618000 99.9935 -96.3715
619000 100.4 -96.652
620000 100.164 -97.6657
621000 99.8639 -98.3544
622000 100.092 -98.7691
623000 99.2588 -98.2237
624000 100.104 -98.7249
625000 100.476 -97.6011
626000 100.903 -97.8795
627000 100.553 -99.2999
628000 100.219 -99.2761
629000 100.929 -98.9915
630000 101.398 -98.09
631000 101.516 -98.4147
632000 101.448 -98.6875
633000 101.837 -98.4729
634000 101.53 -99.5643
635000 101.551 -100.015
636000 102.169 -99.886
637000 102.442 -100.498
638000 102.282 -100.44
639000 102.483 -100.991
640000 103.537 -101.42
641000 103.269 -101.507
