# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 -0.535855 -0.268276
2000 -0.760958 -0.673194
3000 0.369886 -0.041405
4000 -0.0380912 -0.429416
5000 1.33989 -1.683
6000 2.02437 -3.53207
7000 2.23664 -3.90479
8000 2.3784 -5.64601
9000 2.85441 -6.55889
10000 2.65609 -6.02849
11000 3.58339 -4.95353
12000 3.49496 -5.62754
13000 3.47881 -6.06981
14000 4.14263 -7.44677
15000 3.12968 -9.28412
16000 4.5243 -10.804
17000 6.1221 -10.4537
18000 5.71172 -10.2615
19000 6.51148 -9.36459
20000 7.16018 -10.3464
21000 7.89158 -11.5586
22000 8.38693 -13.4286
23000 7.84772 -13.9649
24000 10.5392 -14.9739
25000 11.4972 -15.0739
26000 12.2364 -16.9135
27000 12.6079 -16.7547
28000 13.0763 -17.1221
29000 14.5419 -18.7879
30000 15.1074 -17.4324
31000 16.9474 -18.5128
32000 17.8527 -18.6716
33000 18.2589 -19.0894
34000 18.0379 -20.2749
35000 17.2174 -18.7787
36000 18.1323 -18.6887
37000 18.9254 -17.6658
38000 17.7359 -19.6948
39000 19.343 -20.2964
40000 20.0979 -20.2164
41000 20.2843 -20.7206
42000 20.7881 -21.7329
43000 21.4108 -23.7905
44000 21.2591 -23.5358
45000 23.27 -23.412
46000 22.8396 -24.3509
47000 22.7324 -23.5422
48000 23.8389 -23.3889
49000 24.886 -23.8054
50000 25.4019 -23.2944
51000 26.2099 -24.1921
52000 26.4367 -23.574
53000 25.0301 -23.6512
54000 26.8922 -23.4934
55000 26.7848 -24.6822
56000 26.6167 -25.3509
57000 27.0181 -26.5158
58000 28.0637 -26.8035
59000 28.3442 -27.3234
60000 28.8828 -27.8142
61000 28.5617 -29.2483
62000 29.544 -30.6327
63000 29.355 -31.9989
64000 29.013 -31.9487
65000 29.3968 -31.5336
66000 30.0583 -32.9906
67000 31.3302 -33.4311
68000 31.0788 -34.4827
69000 31.7974 -36.1369
70000 31.6619 -35.8875
71000 32.6729 -35.4709
72000 31.8248 -35.3027
73000 32.0077 -34.9052
74000 31.9309 -35.3152
75000 32.5016 -36.2014
76000 33.9585 -36.2965
77000 33.7955 -38.216
78000 34.3928 -38.1904
79000 35.6543 -38.8203
80000 35.4705 -39.2528
81000 37.1722 -39.3597
82000 37.6619 -40.6013
83000 37.778 -38.9688
84000 38.9253 -40.0171
85000 38.6761 -39.7223
86000 41.0457 -40.3333
87000 40.4194 -39.5981
88000 40.52 -40.6761
89000 41.2129 -41.873
90000 41.9159 -42.1567
91000 42.8549 -42.0816
92000 44.1743 -44.0471
93000 43.361 -43.7373
94000 43.296 -43.7183
95000 44.5494 -44.7151
96000 44.3511 -45.0658
97000 44.954 -44.8859
98000 45.4326 -44.7117
99000 46.0054 -46.4066
100000 47.4555 -46.6899
101000 48.186 -47.0317
102000 46.9265 -46.5812
103000 48.3325 -48.371
104000 47.7762 -47.117
105000 50.7662 -48.1026
106000 50.5622 -48.0929
107000 50.6251 -49.0285
108000 51.5796 -49.4513
109000 52.8029 -49.6898
110000 52.8231 -51.3797
111000 54.4828 -52.2605
112000 53.6504 -52.7796
113000 56.0209 -52.3571
114000 55.7188 -52.6567
115000 56.3511 -53.6224
116000 57.8362 -53.4856
117000 57.3761 -54.9854
118000 55.6217 -55.7066
119000 57.08 -54.9128
120000 57.8711 -56.1559
121000 57.4427 -56.2398
122000 56.1906 -57.4465
123000 55.9973 -57.6692
124000 57.9051 -57.7545
125000 58.4139 -57.6073
126000 59.4397 -57.967
127000 59.5429 -57.8709
128000 58.1401 -58.4021
129000 59.1426 -58.7806
130000 58.6662 -58.8052
131000 60.4939 -60.3246
132000 60.9344 -59.9786
133000 61.7434 -61.0469
134000 62.0296 -61.112
135000 63.1128 -61.6359
136000 63.0046 -62.2546
137000 63.717 -62.8882
138000 64.1356 -63.0121
139000 63.9274 -63.8795
140000 64.5604 -65.1088
141000 64.6642 -64.9983
142000 65.5909 -64.709
143000 66.6164 -65.6341
144000 65.5087 -65.6372
145000 67.5406 -65.5708
146000 67.0602 -64.725
147000 69.8124 -65.3872
148000 69.1312 -66.8311
149000 69.2537 -64.8939
150000 70.1392 -66.9455
151000 70.3837 -67.5198
152000 70.8298 -68.4516
153000 70.1196 -68.1055
154000 71.4913 -69.607
155000 71.7711 -71.3132
156000 72.4675 -71.2514
157000 72.9325 -71.3572
158000 74.3427 -72.0419
159000 73.867 -72.8161
160000 73.8376 -73.0896
161000 73.9519 -72.603
162000 73.8544 -74.995
163000 73.6596 -76.1215
164000 73.6499 -74.9493
165000 72.7505 -74.9224
166000 73.2436 -75.6157
167000 73.2921 -75.6481
168000 74.5825 -76.8164
169000 75.0302 -76.2474
170000 75.5753 -77.8991
171000 75.1027 -78.5833
172000 76.3837 -78.1364
173000 75.9558 -78.8364
174000 77.2839 -78.5861
175000 76.1241 -78.8917
176000 77.4474 -78.7572
177000 78.0656 -80.5568
178000 77.3805 -81.3114
179000 79.2604 -83.7046
180000 80.6682 -84.3236
181000 81.5279 -83.7442
182000 81.2205 -83.3821
183000 81.0517 -83.86
184000 81.3095 -83.5694
185000 81.6974 -83.4487
186000 81.3521 -83.1204
187000 82.4372 -82.9231
188000 83.6877 -83.1657
189000 83.8311 -84.4442
190000 84.4817 -84.5242
191000 85.0445 -84.7345
192000 84.6377 -84.6116
193000 85.4806 -86.0746
194000 86.8843 -88.1826
195000 87.1729 -88.687
196000 86.8495 -89.2424
197000 87.2204 -88.9989
198000 88.6162 -89.6091
199000 88.7155 -89.048
200000 88.3114 -89.1386
201000 90.2354 -91.2111
202000 90.2974 -89.9104
203000 90.1317 -90.4585
204000 90.6432 -92.4968
205000 90.9327 -93.7997
206000 90.551 -93.6201
207000 90.7936 -94.0864
208000 91.0001 -94.3119
209000 90.2443 -95.0486
210000 92.1422 -94.527
211000 93.4035 -94.697
212000 91.6982 -96.4637
213000 93.1779 -96.7664
214000 93.3519 -97.923
215000 93.8101 -98.592
216000 94.7666 -98.9429
217000 94.4365 -98.8391
218000 94.4444 -98.9784
219000 94.0885 -101.57
220000 95.4303 -100.052
221000 96.168 -100.489
222000 98.0808 -101.1
223000 98.128 -100.276
224000 99.5366 -101.504
225000 100.085 -102.125
226000 99.6222 -101.103
227000 100.117 -102.503
228000 99.8683 -101.169
229000 100.102 -100.614
230000 99.6717 -102.007
231000 100.69 -102.835
232000 101.175 -103.008
233000 102.23 -104.341
234000 102.606 -104.986
235000 102.556 -106.84
236000 103.953 -106.574
237000 104.837 -108.434
238000 105.335 -107.758
239000 105.899 -108.779
240000 107.332 -109.324
241000 107.447 -108.292
242000 106.189 -109.468
243000 105.472 -109.642
244000 106.111 -110.973
245000 107.204 -109.638
246000 106.998 -112.686
247000 108.281 -112.446
248000 108.338 -112.094
249000 110.068 -113.992
250000 109.748 -112.557
251000 110.231 -114.478
252000 110.23 -114.89
253000 109.435 -115.001
254000 109.241 -115.871
255000 111.581 -115.567
256000 110.613 -117.495
257000 110.754 -117.174
258000 112.064 -118.257
259000 113.397 -117.789
260000 113.306 -118.183
