Frequency	VDOS
0.159154943	0.008829436
0.238732415	0.009651244
0.318309886	0.010748961
0.397887358	0.012072541
0.477464829	0.013561754
0.557042301	0.015149451
0.636619772	0.016765637
0.716197244	0.018342202
0.795774715	0.019818083
0.875352187	0.021144445
0.954929659	0.022289411
1.03450713	0.023241764
1.114084602	0.024013057
1.193662073	0.024637664
1.273239545	0.025170444
1.352817016	0.025681975
1.432394488	0.026251578
1.511971959	0.026958689
1.591549431	0.027873408
1.671126902	0.029047287
1.750704374	0.030505472
1.830281846	0.032241317
1.909859317	0.034214324
1.989436789	0.036351979
2.06901426	0.038555528
2.148591732	0.04070931
2.228169203	0.042692688
2.307746675	0.044393293
2.387324146	0.045719966
2.466901618	0.04661376
2.546479089	0.047055511
2.626056561	0.047068821
2.705634033	0.04671785
2.785211504	0.046099945
2.864788976	0.04533381
2.944366447	0.044544505
3.023943919	0.043847071
3.10352139	0.043330795
3.183098862	0.043046175
3.262676333	0.042996372
3.342253805	0.043134445
3.421831276	0.043367015
3.501408748	0.043564163
3.58098622	0.043574626
3.660563691	0.043244593
3.740141163	0.042437871
3.819718634	0.04105491
3.899296106	0.039048169
3.978873577	0.036431674
4.058451049	0.033283195
4.13802852	0.0297384
4.217605992	0.025977316
4.297183463	0.022204505
4.376760935	0.018625289
4.456338407	0.015421071
4.535915878	0.012727168
4.61549335	0.010616455
4.695070821	0.009091628
4.774648293	0.008087872
4.854225764	0.00748642
4.933803236	0.007137945
5.013380707	0.006893229
5.092958179	0.006637199
5.17253565	0.006321569
5.252113122	0.005990974
5.331690594	0.005797924
5.411268065	0.006002955
5.490845537	0.006958114
5.570423008	0.009074019
5.65000048	0.012773102
5.729577951	0.018433751
5.809155423	0.026331811
5.888732894	0.0365868
5.968310366	0.049120266
6.047887837	0.063632655
6.127465309	0.079603201
6.207042781	0.096314675
6.286620252	0.112901843
6.366197724	0.128419431
6.445775195	0.141922861
6.525352667	0.152553174
6.604930138	0.159616833
6.68450761	0.162651541
6.764085081	0.161470743
6.843662553	0.156181993
6.923240024	0.147177444
7.002817496	0.135097957
7.082394968	0.120775325
7.161972439	0.105159434
7.241549911	0.08923854
7.321127382	0.073961157
7.400704854	0.060167231
7.480282325	0.048534601
7.559859797	0.039544433
7.639437268	0.033466775
7.71901474	0.03036496
7.798592212	0.030115628
7.878169683	0.032439874
7.957747155	0.036940549
8.037324626	0.043141041
8.116902098	0.05052174
8.196479569	0.058551694
8.276057041	0.066714306
8.355634512	0.074527197
8.435211984	0.081557176
8.514789455	0.087431723
8.594366927	0.09184829
8.673944399	0.094582285
8.75352187	0.095493953
8.833099342	0.094533621
8.912676813	0.091744272
8.992254285	0.087260114
9.071831756	0.081299966
9.151409228	0.074154765
9.230986699	0.066169245
9.310564171	0.057718763
9.390141642	0.049183072
9.469719114	0.0409195
9.549296586	0.03323827
9.628874057	0.026382588
9.708451529	0.020515596
9.788029	0.015715451
9.867606472	0.011978731
9.947183943	0.009231349
10.02676141	0.007345206
10.10633889	0.006158211
10.18591636	0.005495034
10.26549383	0.005186076
10.3450713	0.005082631
10.42464877	0.005066948
10.50422624	0.005056705
10.58380372	0.005004296
10.66338119	0.004891921
10.74295866	0.004723984
10.82253613	0.004518389
10.9021136	0.004298251
10.98169107	0.004085187
11.06126854	0.00389487
11.14084602	0.003735059
11.22042349	0.003605816
11.30000096	0.003501342
11.37957843	0.00341266
11.4591559	0.003330397
11.53873337	0.003247041
11.61831085	0.003158309
11.69788832	0.00306348
11.77746579	0.002964841
11.85704326	0.00286652
11.93662073	0.002773092
12.0161982	0.002688308
12.09577567	0.002614234
12.17535315	0.002550923
12.25493062	0.002496628
12.33450809	0.002448415
12.41408556	0.002402982
12.49366303	0.002357467
12.5732405	0.002310039
12.65281798	0.002260178
12.73239545	0.002208601
12.81197292	0.002156903
12.89155039	0.002107027
12.97112786	0.002060706
13.05070533	0.00201902
13.13028281	0.00198215
13.20986028	0.00194938
13.28943775	0.001919304
13.36901522	0.001890185
13.44859269	0.001860361
13.52817016	0.001828593
13.60774763	0.00179429
13.68732511	0.001757569
13.76690258	0.001719153
13.84648005	0.001680148
13.92605752	0.001641767
14.00563499	0.001605076
14.08521246	0.001570807
14.16478994	0.001539288
14.24436741	0.00151048
14.32394488	0.001484108
14.40352235	0.001459823
14.48309982	0.001437367
14.56267729	0.001416674
14.64225476	0.001397896
14.72183224	0.001381338
14.80140971	0.001367338
14.88098718	0.001356108
14.96056465	0.001347595
15.04014212	0.00134139
15.11971959	0.001336715
15.19929707	0.001332498
15.27887454	0.001327511
15.35845201	0.001320548
15.43802948	0.001310606
15.51760695	0.001297032
15.59718442	0.001279598
15.67676189	0.001258512
15.75633937	0.001234341
15.83591684	0.001207901
15.91549431	0.001180103
15.99507178	0.001151824
16.07464925	0.001123802
16.15422672	0.001096582
16.2338042	0.001070514
16.31338167	0.001045798
16.39295914	0.001022539
16.47253661	0.001000819
16.55211408	0.000980735
16.63169155	0.000962418
16.71126902	0.000946005
16.7908465	0.000931601
16.87042397	0.000919215
16.95000144	0.000908714
17.02957891	0.000899795
17.10915638	0.000891997
17.18873385	0.000884744
17.26831133	0.000877419
17.3478888	0.00086945
17.42746627	0.000860398
17.50704374	0.000850011
17.58662121	0.000838257
17.66619868	0.00082531
17.74577615	0.000811502
17.82535363	0.000797253
17.9049311	0.000782988
17.98450857	0.000769072
18.06408604	0.000755756
18.14366351	0.000743159
18.22324098	0.000731283
18.30281846	0.000720045
18.38239593	0.000709325
18.4619734	0.000699019
18.54155087	0.000689068
18.62112834	0.000679478
18.70070581	0.000670307
18.78028328	0.000661647
18.85986076	0.000653579
18.93943823	0.000646146
19.0190157	0.000639322
19.09859317	0.000633011
19.17817064	0.000627053
19.25774811	0.00062126
19.33732559	0.000615447
