# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 -0.658431 -1.07549
2000 0.935272 -1.90899
3000 1.9089 -1.86473
4000 1.98189 -1.79623
5000 1.22228 -1.36616
6000 1.28353 -1.54454
7000 1.95732 -1.08009
8000 3.00074 -1.23337
9000 2.25325 -2.14992
10000 3.15479 -1.61066
11000 4.25766 -2.06061
12000 3.23816 -0.866626
13000 4.46346 -1.92027
14000 4.8815 -3.9338
15000 5.7485 -2.49962
16000 7.07655 -4.38744
17000 5.87214 -3.3019
18000 5.62254 -4.69521
19000 5.80718 -5.00452
20000 6.81809 -6.52269
21000 7.87501 -7.00626
22000 8.9758 -6.87883
23000 8.93063 -6.05615
24000 9.81037 -6.1591
25000 9.40162 -8.0332
26000 10.6692 -7.70753
27000 10.0459 -9.70501
28000 10.356 -10.3703
29000 9.89828 -10.639
30000 9.7021 -10.5778
31000 10.4345 -10.523
32000 10.4718 -12.2843
33000 10.0355 -11.7389
34000 11.0402 -13.0371
35000 12.8071 -12.4969
36000 14.9559 -13.9045
37000 14.2441 -16.105
38000 15.9979 -16.3749
39000 15.8008 -16.5179
40000 16.6563 -17.0686
41000 16.2254 -17.9461
42000 16.9668 -17.7083
43000 16.6574 -17.3293
44000 16.727 -17.8111
45000 17.2395 -19.1456
46000 17.3598 -18.9927
47000 19.5524 -19.9214
48000 19.5437 -18.9087
49000 19.5036 -18.7403
50000 20.0812 -19.9989
51000 20.9487 -20.7512
52000 21.3867 -20.8476
53000 21.0209 -19.7127
54000 20.2523 -20.1772
55000 20.8027 -20.0556
56000 21.1712 -20.4616
57000 21.3125 -21.4136
58000 22.187 -21.9832
59000 20.7322 -22.5346
60000 21.0497 -23.4873
61000 22.2336 -23.792
62000 22.8621 -26.0728
63000 23.2496 -26.4734
64000 22.8959 -26.3312
65000 24.5856 -26.5185
66000 25.4506 -25.5795
67000 24.3899 -26.8391
68000 25.0383 -27.7272
69000 25.1286 -28.8264
70000 24.4114 -29.9455
71000 25.5613 -30.4983
72000 26.1597 -30.7128
73000 27.0919 -31.896
74000 26.2102 -31.5734
75000 26.0395 -31.2143
76000 26.1637 -31.1613
77000 26.3134 -31.6262
78000 27.0732 -32.0871
79000 27.4386 -33.6523
80000 28.3223 -32.4406
81000 28.0089 -34.2979
82000 29.872 -33.4285
83000 29.992 -32.7883
84000 30.2202 -34.8914
