# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 0.807634 -0.294776
2000 2.00044 -0.537918
3000 1.335 -2.36073
4000 5.04924 -2.85362
5000 4.81833 -2.38351
6000 7.62985 -3.05484
7000 6.84076 -2.97794
8000 8.55207 -3.10963
9000 7.7456 -4.89831
10000 8.7588 -4.07814
11000 6.6998 -4.80691
12000 10.0076 -6.99959
13000 8.28011 -7.87542
14000 10.5629 -8.37549
15000 12.4356 -9.45229
16000 13.3843 -10.2759
17000 13.3319 -10.4621
18000 12.6961 -10.7154
19000 12.6572 -12.8
20000 14.7861 -13.081
21000 15.0726 -13.7962
22000 16.8261 -13.1551
23000 18.3585 -12.8718
24000 17.8557 -14.5204
25000 18.2324 -13.9809
26000 18.0049 -16.3487
27000 21.3348 -17.2823
28000 26.285 -17.5421
29000 26.9273 -18.3649
30000 25.323 -18.8614
31000 27.3879 -18.9456
32000 28.0763 -19.2326
33000 29.374 -19.6924
34000 30.7764 -21.4586
35000 33.5779 -22.3539
36000 34.5179 -24.829
37000 34.4167 -24.4364
38000 33.8398 -24.9562
39000 38.0508 -26.1413
40000 38.3256 -25.1115
41000 39.9749 -25.8432
42000 38.485 -25.7151
43000 39.3593 -26.5176
44000 39.3519 -29.788
45000 39.4992 -30.1366
46000 41.8237 -30.973
47000 42.5952 -31.0152
48000 41.8138 -32.2907
49000 41.7216 -31.4018
50000 42.1633 -33.4994
51000 44.6008 -32.8034
52000 45.4784 -35.1314
53000 46.4799 -35.7835
54000 49.0227 -37.5159
55000 49.8138 -38.5912
56000 48.7265 -39.2238
57000 50.4185 -40.3668
58000 53.9539 -39.7722
59000 53.9208 -40.1462
60000 53.7418 -42.0891
61000 54.5624 -38.1515
62000 55.3823 -38.3842
63000 56.5287 -44.0249
64000 54.7143 -45.5093
65000 57.2305 -44.7355
66000 58.8753 -44.7459
67000 56.6454 -46.0201
68000 58.8652 -44.6243
69000 58.2319 -45.2923
70000 60.8485 -45.2069
71000 61.861 -42.6468
72000 61.4584 -43.6834
73000 62.2606 -44.6444
74000 63.2088 -49.2809
75000 64.8849 -48.0432
76000 66.3901 -50.0065
77000 68.5015 -45.5892
78000 67.1168 -49.6883
79000 68.1071 -49.9532
80000 68.718 -52.5931
81000 67.5328 -53.9889
82000 68.3683 -53.9819
83000 70.5497 -56.0599
84000 72.0132 -58.0481
85000 70.9332 -58.2187
86000 70.6511 -58.4532
87000 71.7068 -58.424
88000 74.2671 -58.7328
89000 71.9577 -61.9974
90000 74.6562 -63.5592
91000 74.2906 -64.6134
92000 75.0405 -65.0583
93000 76.3144 -61.786
94000 75.4723 -66.275
95000 78.0711 -66.6453
96000 77.6544 -65.8395
97000 76.9093 -69.8582
98000 76.5777 -71.1285
99000 79.3667 -67.7931
100000 76.7364 -68.9554
101000 77.8062 -70.1517
102000 80.3217 -72.8041
103000 82.2042 -72.1806
104000 83.5261 -74.0175
105000 84.2177 -76.6869
106000 82.2467 -79.3502
107000 83.787 -77.8589
108000 86.4427 -77.8086
109000 86.6756 -78.6662
110000 86.5096 -78.77
111000 89.0579 -80.1861
112000 90.4154 -81.1543
113000 91.816 -80.0191
114000 91.9749 -83.6245
115000 95.3363 -85.0039
116000 95.4816 -82.9699
117000 97.0793 -84.1884
118000 99.7124 -85.1432
119000 99.4636 -86.0564
120000 100.188 -85.569
121000 100.037 -83.1035
122000 100.787 -83.5371
123000 102.024 -85.5843
124000 102.446 -84.4645
125000 104.756 -86.1976
126000 105.029 -88.0076
127000 105.717 -86.7034
128000 107.126 -87.2795
129000 104.599 -85.0858
130000 107.382 -88.7421
131000 108.004 -90.6043
132000 109.831 -90.8187
133000 109.689 -91.5408
134000 110.126 -91.4762
135000 111.625 -94.0372
136000 112.49 -93.1671
137000 112.997 -92.9767
138000 115.011 -95.8881
139000 115.727 -97.2181
140000 117.019 -98.7538
141000 116.264 -99.6026
142000 116.66 -98.7819
143000 117.447 -95.2209
144000 117.402 -96.2933
145000 119.257 -93.2457
146000 117.987 -95.9094
147000 119.03 -97.3861
148000 120.293 -96.9567
149000 120.764 -96.858
150000 123.456 -99.6937
151000 126.475 -102.554
152000 125.862 -99.9901
153000 124.55 -104.134
154000 124.005 -105.357
155000 122.724 -106.726
156000 124.648 -106.49
157000 124.375 -108.744
158000 125.574 -110.483
159000 128.202 -112.462
160000 128.745 -113.117
161000 129.852 -112.514
162000 132.124 -113.951
163000 133.618 -114.83
164000 132.281 -113.376
165000 133.077 -115.735
166000 134.095 -118.443
167000 134.41 -119.772
168000 137.064 -120.442
169000 139.71 -120.365
170000 140.673 -119.667
171000 141.112 -119.75
172000 142.648 -121.615
173000 148.138 -121.45
174000 147.961 -122.926
175000 148.919 -125.571
176000 149.132 -124.837
177000 151.309 -126.781
178000 152.565 -129.263
179000 150.899 -130.768
180000 149.741 -128.156
181000 152.135 -128.627
182000 152.411 -130.401
183000 152.817 -131.164
184000 153.327 -131.015
185000 155.067 -131.433
186000 156.199 -131.106
187000 154.924 -134.343
188000 156.146 -133.278
189000 153.852 -133.955
190000 156.116 -134.856
191000 155.475 -135.198
192000 153.538 -134.606
193000 156.433 -136.419
194000 156.009 -135.762
195000 156.334 -137.004
196000 157.346 -137.991
197000 158.093 -137.611
198000 157.732 -138.487
199000 159.247 -135.55
200000 159.743 -136.176
201000 158.737 -138.978
202000 159.806 -138.164
203000 161.719 -141.82
204000 160.621 -140.661
205000 161.849 -143.318
206000 162.91 -144.088
207000 163.361 -143.487
208000 164.136 -144.114
209000 164.059 -146.611
210000 166.334 -147.624
211000 168.533 -148.668
212000 167.535 -151.852
213000 166.93 -151.856
214000 167.997 -154.169
215000 168.137 -151.06
216000 170.013 -154.701
217000 169.528 -154.786
218000 171.991 -157.051
219000 172.263 -156.906
220000 172.444 -159.165
221000 173.109 -159.553
222000 175.818 -156.28
223000 176.421 -158.278
224000 178.726 -158.893
225000 176.779 -160.779
226000 178.055 -157.473
227000 181.182 -160.101
228000 178.63 -165.014
229000 180.227 -163.396
230000 181.171 -163.769
231000 179.192 -164.94
232000 180.006 -167.348
233000 182.444 -167.629
234000 182.911 -167.102
235000 183.273 -167.48
236000 185.775 -170.603
237000 188.482 -172.662
238000 187.231 -170.544
239000 186.534 -171.845
240000 188.879 -174.545
241000 188.222 -173.856
242000 190.197 -173.338
243000 191.306 -174.549
244000 189.457 -174.881
245000 192.862 -176.201
246000 190.773 -176.573
247000 193.263 -177.658
248000 193.731 -177.483
249000 194.138 -178.796
250000 193.828 -176.792
251000 196.977 -178.689
252000 196.549 -180.215
253000 197.462 -177.81
254000 195.759 -181.447
255000 196.413 -182.372
256000 198.74 -179.505
257000 201.43 -178.196
258000 203.458 -179.915
259000 205.468 -180.396
260000 204.269 -182.01
261000 205.581 -183.698
262000 207.319 -181.646
263000 205.632 -182.011
264000 206.089 -185.009
265000 208.373 -184.087
266000 208.602 -185.321
267000 208.863 -182.709
268000 206.595 -188.115
269000 210.889 -188.594
270000 210.15 -190.279
271000 211.857 -188.677
272000 212.26 -190.242
273000 212.415 -189.317
274000 214.364 -191.221
275000 213.703 -190.713
276000 214.434 -192.538
277000 215.154 -191.908
278000 216.597 -193.609
279000 215.933 -193.795
280000 216.902 -196.405
281000 214.57 -194.16
282000 216.419 -195.291
283000 214.419 -195.447
284000 214.488 -195.145
285000 216.114 -197.551
286000 216.928 -201.652
287000 219.082 -201.782
288000 219.499 -199.983
289000 222.58 -197.931
290000 220.964 -198.845
291000 221.25 -201.002
292000 223.685 -203.033
293000 221.451 -200.233
294000 223.421 -202.526
295000 223.515 -203.031
296000 223.572 -205.839
297000 224.718 -204.597
298000 225.225 -206.453
299000 224.831 -206.101
300000 226.258 -204.946
301000 226.901 -208.72
302000 226.366 -210.612
303000 227.969 -210.919
304000 227.4 -213.408
305000 226.092 -214.428
306000 227.958 -213.042
307000 227.351 -214.633
308000 227.801 -215.542
309000 230.012 -216.72
310000 229.014 -216.97
311000 228.682 -219.792
312000 230.194 -219.3
313000 232.403 -221.438
314000 233.084 -220.712
315000 231.444 -219.159
316000 232.725 -220.28
317000 231.69 -220.688
318000 233.218 -222.932
319000 234.281 -219.356
320000 234.826 -223.784
321000 234.157 -222.335
322000 233.645 -224.549
323000 236.026 -223.8
324000 233.402 -226.718
325000 235.324 -226.701
