Frequency	VDOS
0.159154943	0.009316133
0.238732415	0.010225169
0.318309886	0.011433965
0.397887358	0.012882875
0.477464829	0.014501202
0.557042301	0.016211587
0.636619772	0.017935153
0.716197244	0.019597167
0.795774715	0.021132836
0.875352187	0.022492798
0.954929659	0.023647759
1.03450713	0.024591735
1.114084602	0.02534338
1.193662073	0.025945036
1.273239545	0.026459314
1.352817016	0.0269633
1.432394488	0.027540749
1.511971959	0.028272945
1.591549431	0.029229119
1.671126902	0.030457495
1.750704374	0.03197806
1.830281846	0.033778041
1.909859317	0.035810839
1.989436789	0.037998809
2.06901426	0.040239793
2.148591732	0.042416881
2.228169203	0.044410397
2.307746675	0.046110771
2.387324146	0.047430785
2.466901618	0.048315631
2.546479089	0.048749459
2.626056561	0.048757419
2.705634033	0.048402781
2.785211504	0.047779253
2.864788976	0.046999299
2.944366447	0.046179745
3.023943919	0.045426394
3.10352139	0.044819567
3.183098862	0.044402433
3.262676333	0.044173761
3.342253805	0.04408619
3.421831276	0.044050514
3.501408748	0.043945713
3.58098622	0.04363372
3.660563691	0.042977278
3.740141163	0.041858734
3.819718634	0.0401974
3.899296106	0.037963136
3.978873577	0.035184184
4.058451049	0.031947881
4.13802852	0.028393755
4.217605992	0.024699476
4.297183463	0.021061128
4.376760935	0.01767018
4.456338407	0.014690135
4.535915878	0.012236177
4.61549335	0.010360957
4.695070821	0.009049096
4.774648293	0.008221964
4.854225764	0.007752946
4.933803236	0.007491939
5.013380707	0.007296292
5.092958179	0.007064219
5.17253565	0.006765874
5.252113122	0.006467123
5.331690594	0.00634153
5.411268065	0.006667295
5.490845537	0.007807637
5.570423008	0.010175328
5.65000048	0.014184334
5.729577951	0.020193605
5.809155423	0.028449617
5.888732894	0.039035035
5.968310366	0.051830683
6.047887837	0.066496864
6.127465309	0.082477987
6.207042781	0.099031794
6.286620252	0.11528141
6.366197724	0.130285576
6.445775195	0.143119931
6.525352667	0.15296067
6.604930138	0.159161371
6.68450761	0.161314443
6.764085081	0.159290399
6.843662553	0.153250759
6.923240024	0.143633494
7.002817496	0.131113113
7.082394968	0.116540322
7.161972439	0.100868318
7.241549911	0.085073922
7.321127382	0.070081797
7.400704854	0.056699043
7.480282325	0.045565631
7.559859797	0.037123832
7.639437268	0.031607251
7.71901474	0.029047844
7.798592212	0.029297465
7.878169683	0.032059429
7.957747155	0.036925296
8.037324626	0.043412464
8.116902098	0.050999157
8.196479569	0.059154663
8.276057041	0.067363976
8.355634512	0.075147127
8.435211984	0.082074209
8.514789455	0.08777737
8.594366927	0.091960897
8.673944399	0.094409972
8.75352187	0.094998039
8.833099342	0.093692047
8.912676813	0.090554383
8.992254285	0.085740206
9.071831756	0.079489099
9.151409228	0.072110598
9.230986699	0.063963934
9.310564171	0.055433272
9.390141642	0.046900491
9.469719114	0.038718152
9.549296586	0.031185423
9.628874057	0.02452951
9.708451529	0.018894513
9.788029	0.01433868
9.867606472	0.01083998
9.947183943	0.008308865
10.02676141	0.006606235
10.10633889	0.005564099
10.18591636	0.005006267
10.26549383	0.004766626
10.3450713	0.004703154
10.42464877	0.004706568
10.50422624	0.004703384
10.58380372	0.00465395
10.66338119	0.004546646
10.74295866	0.004389789
10.82253613	0.004202876
10.9021136	0.004008597
10.98169107	0.003826679
11.06126854	0.003670115
11.14084602	0.003543846
11.22042349	0.003445512
11.30000096	0.003367626
11.37957843	0.003300394
11.4591559	0.003234428
11.53873337	0.003162815
11.61831085	0.003082205
11.69788832	0.002992882
11.77746579	0.002897998
11.85704326	0.00280228
11.93662073	0.002710615
12.0161982	0.002626838
12.09577567	0.002552979
12.17535315	0.002489057
12.25493062	0.002433396
12.33450809	0.00238329
12.41408556	0.002335818
12.49366303	0.002288595
12.5732405	0.002240276
12.65281798	0.002190735
12.73239545	0.00214091
12.81197292	0.002092395
12.89155039	0.002046909
12.97112786	0.002005787
13.05070533	0.001969607
13.13028281	0.00193804
13.20986028	0.001909937
13.28943775	0.001883602
13.36901522	0.001857188
13.44859269	0.001829087
13.52817016	0.001798253
13.60774763	0.001764366
13.68732511	0.001727829
13.76690258	0.001689617
13.84648005	0.001651015
13.92605752	0.001613341
14.00563499	0.001577696
14.08521246	0.001544812
14.16478994	0.001515015
14.24436741	0.001488291
14.32394488	0.001464428
14.40352235	0.001443182
14.48309982	0.001424417
14.56267729	0.001408169
14.64225476	0.001394639
14.72183224	0.001384091
14.80140971	0.001376712
14.88098718	0.001372452
14.96056465	0.001370904
15.04014212	0.001371251
15.11971959	0.0013723
15.19929707	0.001372607
15.27887454	0.00137066
15.35845201	0.001365083
15.43802948	0.001354838
15.51760695	0.00133936
15.59718442	0.001318615
15.67676189	0.001293076
15.75633937	0.001263623
15.83591684	0.001231386
15.91549431	0.001197576
15.99507178	0.001163335
16.07464925	0.001129623
16.15422672	0.001097164
16.2338042	0.001066448
16.31338167	0.001037775
16.39295914	0.001011322
16.47253661	0.000987205
16.55211408	0.000965519
16.63169155	0.000946356
16.71126902	0.000929774
16.7908465	0.000915762
16.87042397	0.000904182
16.95000144	0.000894742
17.02957891	0.000886977
17.10915638	0.000880282
17.18873385	0.000873966
17.26831133	0.000867343
17.3478888	0.000859816
17.42746627	0.000850959
17.50704374	0.000840568
17.58662121	0.000828676
17.66619868	0.000815521
17.74577615	0.000801492
17.82535363	0.000787041
17.9049311	0.000772608
17.98450857	0.000758548
18.06408604	0.000745094
18.14366351	0.000732345
18.22324098	0.000720286
18.30281846	0.000708837
18.38239593	0.000697895
